Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,04;0,10;0,00;0,00
0,04;0,04;0,10;0,00;0,00
0,06;0,04;0,10;0,00;0,00
0,08;0,04;0,10;0,00;0,00
0,10;0,04;0,10;0,00;0,00
0,12;0,04;0,11;0,00;0,00
0,14;0,04;0,11;0,00;0,00
0,16;0,04;0,12;0,00;0,00
0,18;0,04;0,12;0,00;0,00
0,20;0,04;0,13;0,00;0,00
0,22;0,04;0,13;0,00;0,00
0,24;0,05;0,14;0,00;0,00
0,26;0,05;0,15;0,00;0,00
0,28;0,05;0,16;0,00;0,00
0,30;0,05;0,17;0,00;0,00
0,32;0,05;0,18;0,00;0,00
0,34;0,05;0,19;0,00;0,00
0,36;0,05;0,20;0,00;0,01
0,38;0,05;0,20;0,00;0,01
0,40;0,06;0,21;0,01;0,01
0,42;0,06;0,22;0,01;0,01
0,44;0,06;0,23;0,01;0,01
0,46;0,06;0,24;0,01;0,01
0,48;0,06;0,25;0,01;0,01
0,50;0,06;0,25;0,01;0,01
0,52;0,06;0,26;0,02;0,02
0,54;0,06;0,27;0,02;0,02
0,56;0,06;0,28;0,02;0,02
0,58;0,06;0,28;0,02;0,02
0,60;0,06;0,29;0,02;0,02
0,62;0,07;0,30;0,02;0,02
0,64;0,07;0,31;0,03;0,03
0,66;0,07;0,32;0,03;0,03
0,68;0,07;0,33;0,03;0,03
0,70;0,07;0,34;0,03;0,03
0,72;0,07;0,35;0,03;0,03
0,74;0,07;0,35;0,03;0,03
0,76;0,07;0,37;0,03;0,03
0,78;0,07;0,37;0,04;0,04
0,80;0,08;0,38;0,04;0,04
0,82;0,08;0,38;0,04;0,04
0,84;0,08;0,39;0,04;0,04
0,86;0,08;0,40;0,04;0,04
0,88;0,08;0,41;0,04;0,04
0,90;0,08;0,41;0,04;0,04
0,92;0,08;0,42;0,04;0,04
0,94;0,08;0,43;0,05;0,05
0,96;0,08;0,44;0,05;0,05
0,98;0,08;0,45;0,05;0,05
1,00;0,08;0,46;0,05;0,05
1,02;0,09;0,47;0,05;0,05
1,04;0,09;0,47;0,05;0,05
1,06;0,09;0,48;0,05;0,06
1,08;0,09;0,49;0,06;0,06
1,10;0,09;0,50;0,06;0,06
1,12;0,09;0,51;0,06;0,06
1,14;0,09;0,52;0,06;0,06
1,16;0,09;0,53;0,06;0,06
1,18;0,09;0,53;0,06;0,06
1,20;0,09;0,54;0,07;0,07
1,22;0,10;0,55;0,07;0,07
1,24;0,10;0,55;0,07;0,07
1,26;0,10;0,56;0,07;0,07
1,28;0,10;0,57;0,07;0,07
1,30;0,10;0,58;0,07;0,07
1,32;0,10;0,59;0,08;0,08
1,34;0,10;0,60;0,08;0,08
1,36;0,10;0,61;0,08;0,08
1,38;0,10;0,62;0,08;0,08
1,40;0,10;0,63;0,08;0,08
1,42;0,11;0,63;0,08;0,08
1,44;0,11;0,65;0,08;0,09
1,46;0,11;0,65;0,08;0,09
1,48;0,11;0,66;0,09;0,09
1,50;0,11;0,67;0,09;0,09
1,52;0,11;0,68;0,09;0,09
1,54;0,11;0,68;0,09;0,09
1,56;0,11;0,69;0,09;0,09
1,58;0,11;0,70;0,09;0,09
1,60;0,11;0,71;0,09;0,09
1,62;0,12;0,72;0,10;0,10
1,64;0,12;0,73;0,10;0,10
1,66;0,12;0,74;0,10;0,10
1,68;0,12;0,75;0,10;0,10
1,70;0,12;0,76;0,10;0,10
1,72;0,12;0,76;0,10;0,10
