Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,05;0,10;0,00;0,00
0,04;0,05;0,10;0,00;0,00
0,06;0,05;0,09;0,00;0,00
0,08;0,05;0,09;0,00;0,00
0,10;0,05;0,09;0,00;0,00
0,12;0,05;0,09;0,00;0,00
0,14;0,05;0,10;0,00;0,00
0,16;0,05;0,10;0,00;0,00
0,18;0,05;0,10;0,00;0,00
0,20;0,06;0,10;0,00;0,00
0,22;0,06;0,11;0,00;0,00
0,24;0,06;0,14;0,00;0,00
0,26;0,06;0,18;0,00;0,00
0,28;0,06;0,18;0,00;0,00
0,30;0,06;0,20;0,00;0,00
0,32;0,07;0,21;0,00;0,00
0,34;0,08;0,23;0,00;0,00
0,36;0,08;0,24;0,00;0,00
0,38;0,09;0,28;0,00;0,00
0,40;0,09;0,33;0,00;0,00
0,42;0,10;0,40;0,00;0,00
0,44;0,10;0,41;0,00;0,00
0,46;0,11;0,44;0,01;0,01
0,48;0,12;0,51;0,01;0,01
0,50;0,12;0,54;0,01;0,01
0,52;0,13;0,58;0,02;0,02
0,54;0,13;0,66;0,02;0,02
0,56;0,14;0,69;0,02;0,02
0,58;0,14;0,74;0,03;0,03
0,60;0,15;0,81;0,04;0,04
0,62;0,16;0,84;0,04;0,04
0,64;0,16;0,89;0,05;0,05
0,66;0,17;0,97;0,06;0,06
0,68;0,17;1,00;0,06;0,06
0,70;0,18;1,06;0,07;0,07
0,72;0,19;1,14;0,08;0,08
0,74;0,19;1,17;0,09;0,09
0,76;0,20;1,23;0,09;0,09
0,78;0,20;1,31;0,11;0,11
0,80;0,21;1,34;0,12;0,12
0,82;0,21;1,41;0,12;0,12
0,84;0,22;1,48;0,13;0,13
0,86;0,23;1,51;0,14;0,14
0,88;0,23;1,57;0,16;0,16
0,90;0,24;1,64;0,16;0,16
0,92;0,24;1,67;0,17;0,17
0,94;0,25;1,74;0,18;0,18
0,96;0,26;1,82;0,18;0,18
0,98;0,26;1,85;0,19;0,19
1,00;0,27;1,92;0,21;0,21
1,02;0,27;1,99;0,22;0,22
1,04;0,28;2,02;0,22;0,22
1,06;0,29;2,09;0,23;0,23
1,08;0,29;2,15;0,25;0,25
1,10;0,30;2,18;0,25;0,25
1,12;0,30;2,25;0,26;0,26
1,14;0,31;2,31;0,27;0,27
1,16;0,31;2,35;0,28;0,28
1,18;0,32;2,42;0,28;0,28
1,20;0,33;2,48;0,30;0,30
1,22;0,33;2,51;0,31;0,31
1,24;0,34;2,57;0,31;0,31
1,26;0,34;2,63;0,32;0,32
1,28;0,35;2,67;0,34;0,34
1,30;0,36;2,74;0,34;0,34
1,32;0,36;2,79;0,35;0,35
1,34;0,37;2,83;0,36;0,36
1,36;0,37;2,90;0,38;0,38
1,38;0,38;2,95;0,38;0,38
1,40;0,38;2,99;0,39;0,39
1,42;0,39;3,07;0,40;0,40
1,44;0,40;3,12;0,40;0,40
1,46;0,40;3,15;0,41;0,41
1,48;0,41;3,23;0,43;0,43
1,50;0,41;3,28;0,43;0,43
1,52;0,42;3,30;0,44;0,44
1,54;0,42;3,38;0,45;0,45
1,56;0,43;3,43;0,46;0,46
1,58;0,44;3,46;0,46;0,46
1,60;0,44;3,54;0,48;0,48
1,62;0,45;3,59;0,49;0,49
1,64;0,45;3,62;0,49;0,49
1,66;0,46;3,69;0,50;0,50
1,68;0,47;3,74;0,52;0,52
1,70;0,47;3,77;0,53;0,53
1,72;0,48;3,85;0,53;0,53
1,74;0,48;3,89;0,54;0,54
1,76;0,49;3,92;0,55;0,55
1,78;0,50;4,00;0,55;0,55
1,80;0,50;4,05;0,57;0,57
1,82;0,51;4,08;0,58;0,58
1,84;0,51;4,15;0,58;0,58
1,86;0,52;4,20;0,59;0,59
1,88;0,52;4,23;0,60;0,60
1,90;0,53;4,30;0,62;0,62
1,92;0,54;4,34;0,62;0,62
1,94;0,54;4,37;0,63;0,63
1,96;0,55;4,45;0,64;0,64
1,98;0,55;4,49;0,64;0,64
2,00;0,56;4,52;0,66;0,66
2,02;0,57;4,60;0,67;0,67
2,04;0,57;4,64;0,68;0,68
2,06;0,58;4,67;0,68;0,68
2,08;0,58;4,74;0,69;0,69
2,10;0,59;4,78;0,71;0,71
2,12;0,59;4,82;0,71;0,71
2,14;0,60;4,89;0,72;0,72
2,16;0,61;4,93;0,73;0,73
2,18;0,61;4,96;0,74;0,74
2,20;0,62;5,03;0,74;0,74
2,22;0,62;5,07;0,76;0,76
2,24;0,63;5,11;0,77;0,77
2,26;0,64;5,18;0,77;0,77
2,28;0,64;5,21;0,78;0,78
2,30;0,65;5,25;0,79;0,79
2,32;0,65;5,32;0,79;0,79
2,34;0,66;5,35;0,81;0,81
2,36;0,66;5,39;0,82;0,82
2,38;0,67;5,47;0,83;0,83
2,40;0,68;5,50;0,83;0,83
2,42;0,68;5,53;0,85;0,85
2,44;0,69;5,61;0,86;0,86
2,46;0,69;5,64;0,87;0,87
2,48;0,70;5,67;0,87;0,87
2,50;0,71;5,74;0,88;0,88
2,52;0,71;5,78;0,90;0,90
2,54;0,72;5,82;0,90;0,90
2,56;0,72;5,89;0,91;0,91
2,58;0,73;5,91;0,92;0,92
2,60;0,73;5,95;0,92;0,92
2,62;0,74;6,02;0,93;0,93
2,64;0,75;6,05;0,95;0,95
2,66;0,75;6,08;0,95;0,95
2,68;0,76;6,15;0,96;0,96
2,70;0,76;6,18;0,97;0,97
2,72;0,77;6,22;0,99;0,99
2,74;0,78;6,28;0,99;0,99
2,76;0,78;6,32;1,00;1,00
2,78;0,79;6,36;1,01;1,01
2,80;0,79;6,42;1,01;1,01
2,82;0,80;6,44;1,02;1,02
2,84;0,80;6,49;1,04;1,04
2,86;0,81;6,55;1,05;1,05
2,88;0,82;6,57;1,05;1,05
2,90;0,82;6,61;1,06;1,06
2,92;0,83;6,67;1,07;1,07
2,94;0,83;6,70;1,07;1,07
2,96;0,84;6,74;1,09;1,09
2,98;0,84;6,80;1,10;1,10
3,00;0,85;6,82;1,10;1,10
3,02;0,86;6,87;1,11;1,11
3,04;0,86;6,92;1,13;1,13
3,06;0,87;6,94;1,14;1,14
3,08;0,87;6,99;1,14;1,14
3,10;0,88;7,04;1,15;1,15
3,12;0,89;7,07;1,16;1,16
3,14;0,89;7,11;1,16;1,16
3,16;0,90;7,17;1,18;1,18
3,18;0,90;7,18;1,19;1,19
3,20;0,91;7,24;1,20;1,20
3,22;0,92;7,29;1,20;1,20
3,24;0,92;7,30;1,21;1,21
3,26;0,93;7,35;1,23;1,23
3,28;0,93;7,40;1,23;1,23
3,30;0,94;7,42;1,24;1,24
3,32;0,94;7,47;1,25;1,25
3,34;0,95;7,52;1,27;1,27
3,36;0,96;7,53;1,27;1,27
3,38;0,96;7,58;1,28;1,28
3,40;0,97;7,63;1,29;1,29
3,42;0,97;7,64;1,29;1,29
3,44;0,98;7,70;1,30;1,30
3,46;0,98;7,74;1,32;1,32
3,48;0,99;7,76;1,33;1,33
3,50;1,00;7,82;1,33;1,33
3,52;1,00;7,86;1,34;1,34
3,54;1,01;7,87;1,35;1,35
3,56;1,01;7,93;1,35;1,35
3,58;1,02;7,97;1,37;1,37
3,60;1,03;7,98;1,38;1,38
3,62;1,03;8,03;1,38;1,38
3,64;1,04;8,07;1,39;1,39
3,66;1,04;8,09;1,41;1,41
3,68;1,05;8,14;1,42;1,42
3,70;1,05;8,18;1,42;1,42
3,72;1,06;8,19;1,43;1,43
3,74;1,07;8,25;1,44;1,44
3,76;1,07;8,28;1,44;1,44
3,78;1,08;8,29;1,46;1,46
3,80;1,08;8,35;1,47;1,47
3,82;1,09;8,38;1,48;1,48
3,84;1,10;8,40;1,48;1,48
3,86;1,10;8,46;1,50;1,50
3,88;1,11;8,49;1,51;1,51
3,90;1,11;8,50;1,51;1,51
3,92;1,12;8,56;1,52;1,52
3,94;1,13;8,59;1,53;1,53
3,96;1,13;8,60;1,53;1,53
3,98;1,14;8,65;1,55;1,55
4,00;1,14;8,68;1,56;1,56
4,02;1,15;8,69;1,57;1,57
4,04;1,15;8,75;1,57;1,57
4,06;1,16;8,78;1,59;1,59
4,08;1,17;8,79;1,60;1,60
4,10;1,17;8,84;1,60;1,60
4,12;1,18;8,87;1,61;1,61
4,14;1,18;8,88;1,63;1,63
4,16;1,19;8,93;1,64;1,64
4,18;1,19;8,95;1,64;1,64
4,20;1,20;8,97;1,65;1,65
4,22;1,21;9,02;1,66;1,66
4,24;1,21;9,04;1,66;1,66
4,26;1,22;9,06;1,68;1,68
4,28;1,22;9,11;1,69;1,69
4,30;1,23;9,13;1,70;1,70
4,32;1,24;9,14;1,70;1,70
4,34;1,24;9,19;1,72;1,72
4,36;1,25;9,21;1,73;1,73
4,38;1,25;9,22;1,73;1,73
4,40;1,26;9,27;1,74;1,74
4,42;1,26;9,29;1,76;1,76
4,44;1,27;9,30;1,77;1,77
4,46;1,28;9,35;1,77;1,77
4,48;1,28;9,36;1,78;1,78
4,50;1,29;9,38;1,80;1,80
4,52;1,29;9,43;1,80;1,80
4,54;1,30;9,43;1,81;1,81
4,56;1,31;9,45;1,82;1,82
4,58;1,31;9,51;1,82;1,82
4,60;1,32;9,51;1,84;1,84
4,62;1,32;9,53;1,85;1,85
4,64;1,33;9,58;1,86;1,86
4,66;1,33;9,59;1,86;1,86
4,68;1,34;9,60;1,88;1,88
4,70;1,35;9,65;1,89;1,89
4,72;1,35;9,66;1,89;1,89
4,74;1,36;9,67;1,90;1,90
4,76;1,36;9,71;1,92;1,92
4,78;1,37;9,72;1,92;1,92
4,80;1,38;9,73;1,93;1,93
4,82;1,38;9,78;1,94;1,94
4,84;1,39;9,78;1,96;1,96
4,86;1,39;9,80;1,96;1,96
4,88;1,40;9,84;1,97;1,97
4,90;1,40;9,84;1,98;1,98
4,92;1,41;9,86;1,98;1,98
4,94;1,42;9,90;2,00;2,00
4,96;1,42;9,90;2,01;2,01
4,98;1,43;9,92;2,03;2,03
5,00;1,43;9,96;2,03;2,03
5,02;1,44;9,95;2,04;2,04
5,04;1,45;9,97;2,05;2,05
5,06;1,45;10,02;2,05;2,05
5,08;1,46;10,01;2,07;2,07
5,10;1,46;10,03;2,08;2,08
5,12;1,47;10,07;2,08;2,08
5,14;1,47;10,06;2,09;2,09
5,16;1,48;10,07;2,11;2,11
5,18;1,49;10,11;2,12;2,12
5,20;1,49;10,11;2,12;2,12
5,22;1,50;10,13;2,14;2,14
5,24;1,50;10,16;2,15;2,15
5,26;1,51;10,16;2,16;2,16
5,28;1,52;10,18;2,16;2,16
5,30;1,52;10,21;2,18;2,18
5,32;1,53;10,20;2,19;2,19
5,34;1,53;10,22;2,19;2,19
5,36;1,54;10,25;2,21;2,21
5,38;1,54;10,24;2,22;2,22
5,40;1,55;10,25;2,22;2,22
5,42;1,56;10,29;2,24;2,24
5,44;1,56;10,28;2,25;2,25
5,46;1,57;10,29;2,26;2,26
5,48;1,57;10,32;2,26;2,26
5,50;1,58;10,31;2,28;2,28
5,52;1,59;10,33;2,29;2,29
5,54;1,59;10,35;2,29;2,29
5,56;1,60;10,34;2,31;2,31
5,58;1,60;10,36;2,32;2,32
5,60;1,61;10,38;2,34;2,34
5,62;1,61;10,37;2,34;2,34
5,64;1,62;10,39;2,35;2,35
5,66;1,63;10,41;2,37;2,37
5,68;1,63;10,39;2,37;2,37
5,70;1,64;10,41;2,38;2,38
5,72;1,64;10,42;2,39;2,39
5,74;1,65;10,40;2,39;2,39
5,76;1,66;10,40;2,41;2,41
5,78;1,66;10,41;2,42;2,42
5,80;1,67;10,39;2,44;2,44
5,82;1,67;10,39;2,44;2,44
5,84;1,68;10,39;2,45;2,45
5,86;1,68;10,36;2,46;2,46
5,88;1,69;10,36;2,46;2,46
5,90;1,70;10,35;2,47;2,47
