Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,02;0,08;0,00;0,00
0,04;0,02;0,09;0,00;0,00
0,06;0,02;0,10;0,00;0,00
0,08;0,02;0,12;0,00;0,00
0,10;0,02;0,14;0,00;0,00
0,12;0,02;0,16;0,00;0,00
0,14;0,02;0,20;0,00;0,00
0,16;0,02;0,26;0,00;0,00
0,18;0,02;0,29;0,00;0,00
0,20;0,03;0,28;0,00;0,00
0,22;0,04;0,26;0,00;0,00
0,24;0,04;0,25;0,00;0,00
0,26;0,05;0,19;0,00;0,00
0,28;0,05;0,19;0,00;0,00
0,30;0,06;0,17;0,00;0,00
0,32;0,06;0,20;0,00;0,00
0,34;0,07;0,19;0,01;0,00
0,36;0,08;0,18;0,00;0,00
0,38;0,08;0,14;0,00;0,00
0,40;0,09;0,22;0,00;-0,01
0,42;0,09;0,21;0,00;-0,01
0,44;0,10;0,18;0,00;-0,01
0,46;0,11;0,22;0,00;-0,02
0,48;0,11;0,22;0,00;-0,02
0,50;0,12;0,20;0,00;-0,02
0,52;0,12;0,22;0,00;-0,02
0,54;0,13;0,22;0,00;-0,02
0,56;0,13;0,21;0,00;-0,02
0,58;0,14;0,23;0,00;-0,01
0,60;0,15;0,19;0,01;0,00
0,62;0,15;0,15;0,01;0,00
0,64;0,16;0,17;0,02;0,02
0,66;0,16;0,14;0,04;0,04
0,68;0,17;0,12;0,07;0,07
0,70;0,18;0,14;0,07;0,07
0,72;0,18;0,13;0,10;0,10
0,74;0,19;0,13;0,13;0,13
0,76;0,19;0,15;0,13;0,13
0,78;0,20;0,13;0,16;0,16
0,80;0,20;0,13;0,19;0,19
0,82;0,21;0,16;0,19;0,19
0,84;0,22;0,13;0,21;0,21
0,86;0,22;0,13;0,24;0,23
0,88;0,23;0,15;0,24;0,23
0,90;0,23;0,13;0,26;0,25
0,92;0,24;0,13;0,27;0,27
0,94;0,25;0,15;0,27;0,27
0,96;0,25;0,13;0,29;0,29
0,98;0,26;0,12;0,31;0,31
1,00;0,26;0,15;0,31;0,31
1,02;0,27;0,13;0,33;0,33
1,04;0,27;0,13;0,35;0,35
1,06;0,28;0,16;0,35;0,35
1,08;0,29;0,14;0,37;0,37
1,10;0,29;0,14;0,39;0,39
1,12;0,30;0,17;0,39;0,39
1,14;0,30;0,15;0,41;0,41
1,16;0,31;0,15;0,44;0,43
1,18;0,32;0,17;0,46;0,46
1,20;0,32;0,16;0,46;0,46
1,22;0,33;0,17;0,48;0,48
1,24;0,33;0,19;0,50;0,50
1,26;0,34;0,17;0,50;0,50
1,28;0,34;0,18;0,52;0,52
1,30;0,35;0,21;0,54;0,54
1,32;0,36;0,19;0,54;0,54
1,34;0,36;0,21;0,56;0,56
1,36;0,37;0,24;0,56;0,56
1,38;0,37;0,22;0,58;0,58
1,40;0,38;0,23;0,60;0,59
1,42;0,39;0,25;0,61;0,61
1,44;0,39;0,23;0,61;0,61
1,46;0,40;0,24;0,62;0,62
1,48;0,40;0,26;0,63;0,63
1,50;0,41;0,24;0,63;0,63
1,52;0,41;0,27;0,65;0,64
1,54;0,42;0,28;0,66;0,65
1,56;0,43;0,27;0,66;0,65
1,58;0,43;0,30;0,67;0,67
1,60;0,44;0,31;0,68;0,68
1,62;0,44;0,29;0,68;0,68
1,64;0,45;0,32;0,69;0,69
1,66;0,46;0,34;0,71;0,70
1,68;0,46;0,33;0,71;0,70
1,70;0,47;0,37;0,72;0,72
1,72;0,47;0,40;0,74;0,73
1,74;0,48;0,39;0,75;0,75
1,76;0,48;0,44;0,75;0,75
1,78;0,49;0,46;0,76;0,76
1,80;0,50;0,46;0,78;0,78
1,82;0,50;0,49;0,78;0,78
1,84;0,51;0,51;0,79;0,79
1,86;0,51;0,51;0,81;0,81
1,88;0,52;0,54;0,81;0,81
1,90;0,53;0,56;0,82;0,82
1,92;0,53;0,57;0,84;0,83
1,94;0,54;0,62;0,84;0,83
1,96;0,54;0,64;0,85;0,85
1,98;0,55;0,64;0,86;0,86
