Zeit;Weg;Kraft;Länge;dL_ORG
3,18;0,95;4,26;1,23;1,22
3,20;0,96;4,29;1,24;1,24
3,22;0,96;4,29;1,25;1,25
3,24;0,97;4,31;1,25;1,25
3,26;0,97;4,35;1,26;1,26
3,28;0,98;4,34;1,28;1,27
3,30;0,99;4,37;1,29;1,29
3,32;0,99;4,40;1,29;1,29
3,34;1,00;4,40;1,30;1,30
3,36;1,00;4,42;1,32;1,31
3,38;1,01;4,46;1,33;1,33
3,40;1,01;4,45;1,33;1,33
3,42;1,02;4,48;1,34;1,34
3,44;1,03;4,51;1,35;1,35
3,46;1,03;4,51;1,35;1,35
3,48;1,04;4,53;1,37;1,36
3,50;1,04;4,56;1,38;1,38
3,52;1,05;4,55;1,39;1,39
3,54;1,06;4,59;1,39;1,39
3,56;1,06;4,61;1,40;1,40
3,58;1,07;4,60;1,42;1,41
3,60;1,07;4,63;1,42;1,41
3,62;1,08;4,65;1,43;1,43
3,64;1,08;4,64;1,44;1,44
3,66;1,09;4,67;1,45;1,45
3,68;1,10;4,69;1,45;1,45
3,70;1,10;4,69;1,47;1,46
3,72;1,11;4,72;1,48;1,48
3,74;1,11;4,73;1,48;1,48
3,76;1,12;4,73;1,49;1,49
3,78;1,13;4,76;1,51;1,50
3,80;1,13;4,77;1,51;1,50
3,82;1,14;4,77;1,52;1,52
3,84;1,14;4,80;1,53;1,53
3,86;1,15;4,82;1,54;1,54
3,88;1,15;4,80;1,54;1,54
3,90;1,16;4,84;1,56;1,55
3,92;1,17;4,86;1,57;1,57
3,94;1,17;4,84;1,57;1,57
3,96;1,18;4,88;1,58;1,58
3,98;1,18;4,89;1,60;1,59
4,00;1,19;4,88;1,61;1,61
4,02;1,20;4,91;1,61;1,61
4,04;1,20;4,92;1,62;1,62
4,06;1,21;4,91;1,63;1,63
4,08;1,21;4,95;1,63;1,63
4,10;1,22;4,95;1,65;1,64
4,12;1,22;4,94;1,66;1,66
4,14;1,23;4,98;1,67;1,67
4,16;1,24;4,99;1,67;1,67
4,18;1,24;4,98;1,69;1,68
4,20;1,25;5,02;1,70;1,70
4,22;1,25;5,02;1,70;1,70
4,24;1,26;5,01;1,71;1,71
4,26;1,27;5,05;1,72;1,72
4,28;1,27;5,05;1,74;1,73
4,30;1,28;5,04;1,74;1,73
4,32;1,28;5,08;1,75;1,75
4,34;1,29;5,08;1,76;1,76
4,36;1,29;5,07;1,76;1,76
4,38;1,30;5,11;1,77;1,77
4,40;1,31;5,11;1,79;1,78
4,42;1,31;5,10;1,80;1,80
4,44;1,32;5,13;1,80;1,80
4,46;1,32;5,14;1,81;1,81
4,48;1,33;5,12;1,83;1,82
4,50;1,34;5,15;1,83;1,82
4,52;1,34;5,15;1,84;1,84
4,54;1,35;5,14;1,85;1,85
4,56;1,35;5,17;1,86;1,86
4,58;1,36;5,17;1,86;1,86
4,60;1,36;5,16;1,88;1,87
4,62;1,37;5,20;1,89;1,89
4,64;1,38;5,19;1,89;1,89
4,66;1,38;5,18;1,90;1,90
4,68;1,39;5,21;1,91;1,91
4,70;1,39;5,20;1,93;1,92
4,72;1,40;5,20;1,93;1,92
4,74;1,41;5,23;1,94;1,94
4,76;1,41;5,22;1,95;1,95
4,78;1,42;5,22;1,95;1,95
4,80;1,42;5,24;1,97;1,96
4,82;1,43;5,24;1,98;1,98
4,84;1,43;5,23;1,98;1,98
4,86;1,44;5,26;1,99;1,99
4,88;1,45;5,25;2,00;2,00
4,90;1,45;5,25;2,02;2,01
4,92;1,46;5,28;2,02;2,01
4,94;1,46;5,26;2,03;2,03
4,96;1,47;5,26;2,04;2,04
4,98;1,48;5,29;2,05;2,05
5,00;1,48;5,28;2,05;2,05
5,02;1,49;5,27;2,07;2,06
5,04;1,49;5,30;2,08;2,08
5,06;1,50;5,29;2,08;2,08
5,08;1,50;5,28;2,09;2,09
5,10;1,51;5,31;2,10;2,10
5,12;1,52;5,30;2,10;2,10
5,14;1,52;5,30;2,12;2,11
5,16;1,53;5,32;2,13;2,13
5,18;1,53;5,31;2,14;2,14
5,20;1,54;5,31;2,14;2,14
5,22;1,55;5,33;2,15;2,15
5,24;1,55;5,31;2,17;2,16
5,26;1,56;5,32;2,17;2,16
5,28;1,56;5,34;2,18;2,18
5,30;1,57;5,32;2,19;2,19
5,32;1,58;5,32;2,20;2,20
5,34;1,58;5,34;2,20;2,20
5,36;1,59;5,32;2,22;2,21
5,38;1,59;5,32;2,23;2,23
5,40;1,60;5,35;2,23;2,23
5,42;1,60;5,33;2,24;2,24
5,44;1,61;5,33;2,25;2,25
5,46;1,62;5,35;2,25;2,25
5,48;1,62;5,33;2,27;2,26
5,50;1,63;5,34;2,28;2,28
5,52;1,63;5,35;2,29;2,29
5,54;1,64;5,33;2,29;2,29
5,56;1,65;5,34;2,30;2,30
5,58;1,65;5,36;2,32;2,31
5,60;1,66;5,33;2,33;2,32
5,62;1,66;5,34;2,33;2,32
5,64;1,67;5,36;2,34;2,34
5,66;1,67;5,32;2,35;2,35
5,68;1,68;5,33;2,35;2,35
5,70;1,69;5,35;2,36;2,36
5,72;1,69;5,32;2,37;2,37
5,74;1,70;5,32;2,37;2,37
5,76;1,70;5,34;2,39;2,38
5,78;1,71;5,31;2,40;2,40
5,80;1,72;5,31;2,41;2,41
5,82;1,72;5,32;2,41;2,41
5,84;1,73;5,30;2,42;2,42
5,86;1,73;5,31;2,44;2,43
5,88;1,74;5,31;2,45;2,44
5,90;1,74;5,29;2,45;2,44
5,92;1,75;5,30;2,46;2,46
5,94;1,76;5,30;2,47;2,47
5,96;1,76;5,27;2,47;2,47
5,98;1,77;5,28;2,48;2,48
6,00;1,77;5,28;2,49;2,49
6,02;1,78;5,25;2,49;2,49
6,04;1,79;5,26;2,50;2,50
6,06;1,79;5,26;2,51;2,51
6,08;1,80;5,22;2,52;2,52
6,10;1,80;5,23;2,52;2,52
6,12;1,81;5,23;2,53;2,53
6,14;1,81;5,19;2,54;2,53
6,16;1,82;5,20;2,54;2,53
6,18;1,83;5,19;2,55;2,54
6,20;1,83;5,15;2,55;2,55
6,22;1,84;5,15;2,56;2,56
6,24;1,84;5,13;2,56;2,56
6,26;1,85;5,06;2,57;2,57
6,28;1,86;5,03;2,57;2,57
6,30;1,86;4,98;2,57;2,57
6,32;1,87;4,90;2,58;2,58
6,34;1,87;4,88;2,58;2,58
