Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,07;0,10;0,00;0,00
0,04;0,07;0,09;0,00;0,00
0,06;0,07;0,09;0,00;0,00
0,08;0,07;0,09;0,00;0,00
0,10;0,07;0,10;0,00;0,00
0,12;0,07;0,10;0,00;0,00
0,14;0,07;0,10;0,00;0,00
0,16;0,07;0,10;0,00;0,00
0,18;0,07;0,10;0,00;0,00
0,20;0,07;0,12;0,00;0,00
0,22;0,07;0,12;0,00;0,00
0,24;0,07;0,13;0,00;0,00
0,26;0,08;0,13;0,00;0,00
0,28;0,08;0,13;0,00;0,00
0,30;0,08;0,14;0,00;0,00
0,32;0,08;0,14;0,00;0,00
0,34;0,08;0,15;0,00;0,00
0,36;0,09;0,16;0,00;0,00
0,38;0,09;0,16;0,00;0,00
0,40;0,09;0,17;0,00;0,00
0,42;0,10;0,17;0,01;0,01
0,44;0,10;0,17;0,01;0,01
0,46;0,10;0,19;0,01;0,01
0,48;0,10;0,21;0,01;0,01
0,50;0,10;0,22;0,01;0,01
0,52;0,11;0,22;0,01;0,01
0,54;0,11;0,22;0,02;0,01
0,56;0,11;0,22;0,02;0,02
0,58;0,11;0,23;0,02;0,02
0,60;0,12;0,23;0,03;0,03
0,62;0,12;0,25;0,03;0,03
0,64;0,12;0,26;0,03;0,03
0,66;0,12;0,27;0,04;0,04
0,68;0,12;0,27;0,05;0,05
0,70;0,13;0,28;0,05;0,05
0,72;0,13;0,29;0,05;0,05
0,74;0,13;0,30;0,06;0,06
0,76;0,13;0,32;0,07;0,07
0,78;0,14;0,33;0,07;0,07
0,80;0,14;0,34;0,08;0,08
0,82;0,14;0,34;0,09;0,09
0,84;0,14;0,34;0,09;0,09
0,86;0,15;0,35;0,10;0,10
0,88;0,15;0,35;0,11;0,11
0,90;0,15;0,37;0,11;0,11
0,92;0,15;0,40;0,12;0,12
0,94;0,15;0,41;0,12;0,12
0,96;0,16;0,41;0,12;0,12
0,98;0,16;0,42;0,13;0,13
1,00;0,16;0,42;0,14;0,14
1,02;0,17;0,43;0,15;0,15
1,04;0,17;0,43;0,15;0,15
1,06;0,17;0,46;0,16;0,16
1,08;0,17;0,47;0,16;0,16
1,10;0,17;0,48;0,16;0,16
1,12;0,18;0,48;0,17;0,17
1,14;0,18;0,49;0,18;0,18
1,16;0,18;0,50;0,18;0,18
1,18;0,18;0,50;0,18;0,18
1,20;0,18;0,52;0,19;0,19
1,22;0,19;0,54;0,19;0,19
1,24;0,19;0,55;0,20;0,20
1,26;0,19;0,55;0,20;0,20
1,28;0,20;0,56;0,20;0,20
1,30;0,20;0,56;0,21;0,21
1,32;0,20;0,57;0,21;0,21
1,34;0,20;0,58;0,22;0,22
1,36;0,20;0,61;0,22;0,22
1,38;0,21;0,62;0,23;0,23
1,40;0,21;0,62;0,23;0,23
1,42;0,21;0,63;0,23;0,23
1,44;0,21;0,63;0,24;0,24
1,46;0,22;0,64;0,25;0,25
1,48;0,22;0,65;0,25;0,25
1,50;0,22;0,67;0,25;0,25
1,52;0,22;0,69;0,26;0,26
1,54;0,22;0,70;0,26;0,26
1,56;0,23;0,70;0,27;0,27
1,58;0,23;0,71;0,27;0,27
1,60;0,23;0,72;0,27;0,27
1,62;0,23;0,73;0,28;0,28
1,64;0,24;0,74;0,28;0,28
1,66;0,24;0,76;0,28;0,28
1,68;0,24;0,77;0,28;0,28
1,70;0,24;0,78;0,29;0,29
1,72;0,25;0,78;0,29;0,29
1,74;0,25;0,79;0,29;0,29
1,76;0,25;0,80;0,29;0,29
1,78;0,25;0,81;0,30;0,30
1,80;0,25;0,83;0,30;0,30
1,82;0,26;0,85;0,31;0,31
1,84;0,26;0,86;0,32;0,32
1,86;0,26;0,86;0,32;0,32
1,88;0,27;0,87;0,33;0,33
1,90;0,27;0,87;0,33;0,33
1,92;0,27;0,88;0,33;0,33
1,94;0,27;0,89;0,34;0,34
1,96;0,27;0,92;0,35;0,35
1,98;0,28;0,93;0,36;0,36
2,00;0,28;0,94;0,36;0,36
2,02;0,28;0,95;0,37;0,37
2,04;0,28;0,95;0,37;0,37
2,06;0,29;0,96;0,37;0,37
2,08;0,29;0,97;0,37;0,37
2,10;0,29;0,99;0,37;0,37
2,12;0,29;1,01;0,37;0,37
2,14;0,29;1,02;0,37;0,37
2,16;0,30;1,02;0,38;0,38
2,18;0,30;1,03;0,38;0,38
2,20;0,30;1,04;0,38;0,38
2,22;0,30;1,06;0,38;0,38
2,24;0,31;1,07;0,38;0,38
2,26;0,31;1,10;0,39;0,39
2,28;0,31;1,11;0,39;0,39
2,30;0,31;1,11;0,39;0,39
2,32;0,32;1,12;0,39;0,39
2,34;0,32;1,13;0,39;0,39
2,36;0,32;1,14;0,40;0,40
2,38;0,32;1,15;0,40;0,40
2,40;0,32;1,17;0,40;0,40
2,42;0,33;1,19;0,40;0,40
2,44;0,33;1,20;0,40;0,40
2,46;0,33;1,20;0,41;0,41
2,48;0,34;1,21;0,41;0,41
2,50;0,34;1,23;0,41;0,41
2,52;0,34;1,23;0,41;0,41
2,54;0,34;1,25;0,41;0,41
2,56;0,34;1,28;0,41;0,41
2,58;0,35;1,29;0,42;0,42
2,60;0,35;1,29;0,42;0,42
2,62;0,35;1,30;0,42;0,42
2,64;0,35;1,31;0,42;0,42
2,66;0,36;1,32;0,42;0,42
2,68;0,36;1,34;0,43;0,43
2,70;0,36;1,36;0,43;0,43
2,72;0,36;1,37;0,43;0,43
2,74;0,36;1,38;0,43;0,43
2,76;0,37;1,38;0,43;0,43
2,78;0,37;1,38;0,43;0,43
2,80;0,37;1,39;0,44;0,43
2,82;0,37;1,40;0,44;0,43
2,84;0,38;1,42;0,44;0,44
2,86;0,38;1,44;0,44;0,44
2,88;0,38;1,45;0,44;0,44
2,90;0,38;1,46;0,44;0,44
2,92;0,39;1,46;0,44;0,44
2,94;0,39;1,47;0,44;0,44
2,96;0,39;1,47;0,44;0,44
2,98;0,39;1,49;0,44;0,44
3,00;0,39;1,51;0,44;0,44
3,02;0,40;1,53;0,44;0,44
3,04;0,40;1,53;0,45;0,44
3,06;0,40;1,54;0,45;0,45
3,08;0,41;1,55;0,45;0,45
3,10;0,41;1,56;0,45;0,45
3,12;0,41;1,57;0,45;0,45
3,14;0,41;1,59;0,45;0,45
3,16;0,41;1,61;0,45;0,45
3,18;0,42;1,62;0,45;0,45
3,20;0,42;1,62;0,45;0,45
3,22;0,42;1,63;0,46;0,46
3,24;0,42;1,64;0,46;0,46
3,26;0,43;1,65;0,47;0,47
3,28;0,43;1,67;0,47;0,47
3,30;0,43;1,69;0,47;0,47
3,32;0,43;1,70;0,48;0,48
3,34;0,43;1,70;0,48;0,48
3,36;0,44;1,70;0,48;0,48
3,38;0,44;1,71;0,49;0,49
3,40;0,44;1,72;0,49;0,49
3,42;0,44;1,74;0,50;0,50
3,44;0,45;1,76;0,51;0,51
3,46;0,45;1,78;0,51;0,51
3,48;0,45;1,78;0,52;0,52
3,50;0,45;1,78;0,53;0,53
3,52;0,46;1,79;0,53;0,53
3,54;0,46;1,80;0,53;0,53
3,56;0,46;1,81;0,54;0,54
3,58;0,46;1,83;0,55;0,55
3,60;0,46;1,85;0,55;0,55
3,62;0,47;1,87;0,56;0,56
3,64;0,47;1,87;0,57;0,57
3,66;0,47;1,88;0,57;0,57
3,68;0,48;1,89;0,57;0,57
3,70;0,48;1,90;0,58;0,58
3,72;0,48;1,90;0,58;0,58
3,74;0,48;1,92;0,59;0,59
3,76;0,48;1,94;0,59;0,59
3,78;0,49;1,95;0,59;0,59
3,80;0,49;1,95;0,60;0,60
3,82;0,49;1,96;0,60;0,60
3,84;0,49;1,97;0,60;0,60
3,86;0,50;1,98;0,61;0,61
3,88;0,50;1,99;0,61;0,61
3,90;0,50;2,02;0,62;0,62
3,92;0,50;2,02;0,62;0,62
3,94;0,50;2,02;0,62;0,62
3,96;0,51;2,03;0,63;0,63
3,98;0,51;2,03;0,63;0,63
4,00;0,51;2,04;0,63;0,63
4,02;0,51;2,06;0,63;0,63
4,04;0,52;2,07;0,63;0,63
4,06;0,52;2,09;0,64;0,64
4,08;0,52;2,10;0,64;0,64
4,10;0,52;2,10;0,64;0,64
4,12;0,53;2,11;0,65;0,65
4,14;0,53;2,12;0,65;0,65
4,16;0,53;2,13;0,66;0,66
4,18;0,53;2,15;0,66;0,66
4,20;0,53;2,17;0,68;0,68
4,22;0,54;2,17;0,69;0,69
4,24;0,54;2,18;0,69;0,69
4,26;0,54;2,18;0,71;0,71
4,28;0,55;2,19;0,72;0,72
4,30;0,55;2,20;0,72;0,72
4,32;0,55;2,22;0,74;0,74
4,34;0,55;2,24;0,74;0,74
4,36;0,55;2,25;0,74;0,74
4,38;0,56;2,26;0,76;0,76
4,40;0,56;2,26;0,77;0,77
4,42;0,56;2,27;0,77;0,77
4,44;0,56;2,28;0,77;0,77
4,46;0,57;2,29;0,78;0,78
4,48;0,57;2,32;0,78;0,77
4,50;0,57;2,33;0,78;0,77
4,52;0,57;2,34;0,77;0,77
4,54;0,57;2,34;0,76;0,76
4,56;0,58;2,35;0,76;0,76
4,58;0,58;2,35;0,77;0,77
4,60;0,58;2,36;0,76;0,76
4,62;0,58;2,38;0,76;0,76
4,64;0,59;2,40;0,77;0,77
4,66;0,59;2,41;0,76;0,76
4,68;0,59;2,41;0,76;0,76
4,70;0,59;2,42;0,76;0,76
4,72;0,60;2,43;0,77;0,77
4,74;0,60;2,43;0,77;0,77
4,76;0,60;2,45;0,77;0,77
4,78;0,60;2,47;0,77;0,77
4,80;0,60;2,48;0,77;0,77
4,82;0,61;2,48;0,78;0,78
4,84;0,61;2,48;0,78;0,78
4,86;0,61;2,50;0,79;0,79
4,88;0,62;2,50;0,79;0,79
4,90;0,62;2,52;0,79;0,79
4,92;0,62;2,53;0,80;0,79
4,94;0,62;2,55;0,80;0,79
4,96;0,62;2,56;0,80;0,80
4,98;0,63;2,55;0,80;0,80
5,00;0,63;2,56;0,80;0,80
5,02;0,63;2,57;0,81;0,81
5,04;0,63;2,57;0,81;0,81
5,06;0,64;2,59;0,82;0,82
5,08;0,64;2,61;0,82;0,82
5,10;0,64;2,62;0,82;0,82
5,12;0,64;2,62;0,83;0,83
5,14;0,64;2,63;0,83;0,83
5,16;0,65;2,63;0,83;0,83
5,18;0,65;2,64;0,84;0,84
5,20;0,65;2,65;0,84;0,84
5,22;0,65;2,67;0,84;0,84
5,24;0,66;2,69;0,85;0,85
5,26;0,66;2,69;0,85;0,85
5,28;0,66;2,69;0,85;0,85
5,30;0,66;2,70;0,86;0,86
5,32;0,67;2,71;0,86;0,86
5,34;0,67;2,72;0,86;0,86
5,36;0,67;2,73;0,87;0,87
5,38;0,67;2,76;0,87;0,87
5,40;0,67;2,77;0,87;0,87
5,42;0,68;2,77;0,88;0,88
5,44;0,68;2,77;0,88;0,88
5,46;0,68;2,78;0,88;0,88
5,48;0,69;2,79;0,89;0,88
5,50;0,69;2,79;0,89;0,89
5,52;0,69;2,82;0,89;0,89
5,54;0,69;2,84;0,90;0,90
5,56;0,69;2,84;0,90;0,90
5,58;0,70;2,84;0,90;0,90
5,60;0,70;2,85;0,91;0,91
5,62;0,70;2,86;0,91;0,91
5,64;0,70;2,86;0,91;0,91
5,66;0,71;2,87;0,92;0,92
5,68;0,71;2,89;0,92;0,92
5,70;0,71;2,90;0,93;0,93
5,72;0,71;2,91;0,93;0,93
5,74;0,72;2,91;0,93;0,93
5,76;0,72;2,92;0,94;0,94
5,78;0,72;2,93;0,94;0,94
5,80;0,72;2,94;0,95;0,95
5,82;0,72;2,95;0,95;0,95
5,84;0,73;2,97;0,95;0,95
5,86;0,73;2,97;0,96;0,96
5,88;0,73;2,98;0,97;0,97
5,90;0,73;2,98;0,97;0,97
5,92;0,74;2,99;0,97;0,97
5,94;0,74;2,99;0,98;0,98
5,96;0,74;3,01;0,98;0,98
5,98;0,74;3,03;0,99;0,99
6,00;0,74;3,04;0,99;0,99
6,02;0,75;3,04;0,99;0,99
6,04;0,75;3,05;1,00;1,00
6,06;0,75;3,05;1,01;1,00
6,08;0,76;3,06;1,01;1,00
6,10;0,76;3,07;1,01;1,01
6,12;0,76;3,09;1,02;1,02
6,14;0,76;3,10;1,02;1,02
6,16;0,76;3,10;1,02;1,02
6,18;0,77;3,11;1,03;1,03
6,20;0,77;3,11;1,04;1,04
6,22;0,77;3,11;1,04;1,04
6,24;0,77;3,12;1,04;1,04
6,26;0,78;3,14;1,05;1,05
6,28;0,78;3,15;1,05;1,05
6,30;0,78;3,16;1,06;1,06
6,32;0,78;3,16;1,06;1,06
6,34;0,79;3,16;1,06;1,06
6,36;0,79;3,17;1,07;1,07
6,38;0,79;3,18;1,08;1,08
6,40;0,79;3,19;1,08;1,08
6,42;0,79;3,21;1,08;1,08
6,44;0,80;3,22;1,09;1,09
6,46;0,80;3,22;1,09;1,09
6,48;0,80;3,22;1,09;1,09
6,50;0,80;3,23;1,10;1,10
6,52;0,81;3,23;1,11;1,11
6,54;0,81;3,24;1,11;1,11
6,56;0,81;3,26;1,11;1,11
6,58;0,81;3,28;1,12;1,12
6,60;0,81;3,28;1,12;1,12
6,62;0,82;3,29;1,12;1,12
6,64;0,82;3,29;1,13;1,13
6,66;0,82;3,29;1,13;1,13
6,68;0,83;3,30;1,13;1,13
6,70;0,83;3,32;1,14;1,14
6,72;0,83;3,33;1,14;1,14
6,74;0,83;3,34;1,14;1,14
6,76;0,83;3,35;1,15;1,15
6,78;0,84;3,35;1,16;1,16
6,80;0,84;3,36;1,16;1,16
6,82;0,84;3,36;1,16;1,16
6,84;0,84;3,37;1,17;1,17
6,86;0,84;3,39;1,17;1,17
6,88;0,85;3,40;1,17;1,17
6,90;0,85;3,40;1,18;1,18
6,92;0,85;3,40;1,18;1,18
6,94;0,86;3,41;1,18;1,18
6,96;0,86;3,42;1,19;1,19
6,98;0,86;3,43;1,19;1,19
7,00;0,86;3,44;1,19;1,19
7,02;0,86;3,46;1,20;1,20
7,04;0,87;3,46;1,20;1,20
7,06;0,87;3,47;1,20;1,20
7,08;0,87;3,46;1,21;1,21
7,10;0,87;3,47;1,21;1,21
7,12;0,88;3,47;1,21;1,21
7,14;0,88;3,48;1,22;1,22
7,16;0,88;3,50;1,22;1,22
7,18;0,88;3,52;1,22;1,22
7,20;0,88;3,52;1,23;1,23
7,22;0,89;3,52;1,23;1,23
7,24;0,89;3,52;1,23;1,23
7,26;0,89;3,53;1,24;1,24
7,28;0,89;3,53;1,24;1,24
7,30;0,90;3,55;1,24;1,24
7,32;0,90;3,56;1,25;1,25
7,34;0,90;3,57;1,25;1,25
7,36;0,90;3,57;1,26;1,26
7,38;0,91;3,57;1,26;1,26
7,40;0,91;3,58;1,27;1,26
7,42;0,91;3,58;1,27;1,27
7,44;0,91;3,60;1,27;1,27
7,46;0,91;3,61;1,28;1,27
7,48;0,92;3,62;1,28;1,28
7,50;0,92;3,62;1,28;1,28
7,52;0,92;3,62;1,28;1,28
7,54;0,93;3,63;1,29;1,29
7,56;0,93;3,63;1,29;1,29
7,58;0,93;3,64;1,29;1,29
7,60;0,93;3,65;1,30;1,30
7,62;0,93;3,67;1,30;1,30
7,64;0,94;3,68;1,30;1,30
7,66;0,94;3,68;1,31;1,31
7,68;0,94;3,68;1,31;1,31
7,70;0,94;3,69;1,31;1,31
7,72;0,95;3,69;1,32;1,32
7,74;0,95;3,70;1,32;1,32
7,76;0,95;3,72;1,32;1,32
7,78;0,95;3,73;1,33;1,33
7,80;0,95;3,73;1,33;1,33
7,82;0,96;3,73;1,33;1,33
7,84;0,96;3,74;1,34;1,34
7,86;0,96;3,75;1,34;1,34
7,88;0,96;3,76;1,34;1,34
7,90;0,97;3,78;1,35;1,35
7,92;0,97;3,79;1,36;1,35
7,94;0,97;3,79;1,36;1,35
7,96;0,97;3,79;1,36;1,36
7,98;0,98;3,79;1,37;1,36
8,00;0,98;3,79;1,37;1,37
8,02;0,98;3,80;1,37;1,37
8,04;0,98;3,81;1,37;1,37
8,06;0,98;3,83;1,38;1,38
8,08;0,99;3,84;1,38;1,38
8,10;0,99;3,84;1,38;1,38
8,12;0,99;3,83;1,39;1,39
8,14;1,00;3,84;1,39;1,39
8,16;1,00;3,84;1,39;1,39
8,18;1,00;3,85;1,40;1,40
8,20;1,00;3,87;1,40;1,40
8,22;1,00;3,88;1,40;1,40
8,24;1,01;3,88;1,41;1,41
8,26;1,01;3,88;1,41;1,41
8,28;1,01;3,88;1,41;1,41
8,30;1,01;3,88;1,42;1,42
8,32;1,02;3,89;1,42;1,42
8,34;1,02;3,90;1,42;1,42
8,36;1,02;3,91;1,42;1,42
8,38;1,02;3,92;1,43;1,43
8,40;1,02;3,91;1,43;1,43
8,42;1,03;3,91;1,43;1,43
8,44;1,03;3,92;1,44;1,44
8,46;1,03;3,92;1,44;1,44
8,48;1,03;3,93;1,44;1,44
8,50;1,04;3,95;1,45;1,45
8,52;1,04;3,96;1,45;1,45
8,54;1,04;3,95;1,45;1,45
8,56;1,04;3,95;1,46;1,46
8,58;1,05;3,96;1,46;1,46
8,60;1,05;3,96;1,46;1,46
8,62;1,05;3,97;1,47;1,47
8,64;1,05;3,99;1,47;1,47
8,66;1,05;4,00;1,47;1,47
8,68;1,06;4,00;1,48;1,48
8,70;1,06;3,99;1,48;1,48
8,72;1,06;4,00;1,48;1,48
8,74;1,07;4,00;1,49;1,49
8,76;1,07;4,00;1,49;1,49
8,78;1,07;4,01;1,49;1,49
8,80;1,07;4,03;1,50;1,50
8,82;1,07;4,04;1,50;1,50
8,84;1,08;4,04;1,51;1,51
8,86;1,08;4,04;1,51;1,51
8,88;1,08;4,05;1,51;1,51
8,90;1,08;4,05;1,52;1,52
8,92;1,09;4,06;1,52;1,52
8,94;1,09;4,07;1,52;1,52
8,96;1,09;4,08;1,53;1,52
8,98;1,09;4,09;1,53;1,52
9,00;1,10;4,09;1,53;1,53
9,02;1,10;4,09;1,53;1,53
9,04;1,10;4,09;1,53;1,53
9,06;1,10;4,09;1,54;1,54
9,08;1,10;4,10;1,54;1,54
9,10;1,11;4,11;1,54;1,54
9,12;1,11;4,12;1,55;1,55
9,14;1,11;4,12;1,55;1,55
9,16;1,11;4,12;1,56;1,56
9,18;1,12;4,12;1,56;1,56
9,20;1,12;4,13;1,56;1,56
9,22;1,12;4,13;1,57;1,57
9,24;1,12;4,14;1,57;1,57
9,26;1,12;4,15;1,57;1,57
9,28;1,13;4,15;1,58;1,58
9,30;1,13;4,15;1,58;1,58
9,32;1,13;4,16;1,58;1,58
9,34;1,14;4,16;1,59;1,58
9,36;1,14;4,16;1,59;1,58
9,38;1,14;4,17;1,59;1,59
9,40;1,14;4,18;1,59;1,59
9,42;1,14;4,19;1,59;1,59
9,44;1,15;4,18;1,60;1,60
9,46;1,15;4,18;1,60;1,60
9,48;1,15;4,18;1,60;1,60
9,50;1,15;4,19;1,61;1,61
9,52;1,16;4,20;1,61;1,61
9,54;1,16;4,21;1,62;1,62
9,56;1,16;4,22;1,62;1,62
9,58;1,16;4,22;1,62;1,62
9,60;1,17;4,22;1,63;1,63
9,62;1,17;4,22;1,63;1,63
9,64;1,17;4,22;1,63;1,63
9,66;1,17;4,23;1,64;1,64
9,68;1,17;4,24;1,64;1,64
9,70;1,18;4,25;1,64;1,64
9,72;1,18;4,26;1,65;1,65
