Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,03;0,10;0,00;0,00
0,04;0,03;0,10;0,00;0,00
0,06;0,03;0,10;0,00;0,00
0,08;0,03;0,10;0,00;0,00
0,10;0,03;0,11;0,00;0,00
0,12;0,03;0,12;0,00;0,00
0,14;0,03;0,13;0,00;0,00
0,16;0,03;0,12;0,00;0,00
0,18;0,04;0,12;0,00;0,00
0,20;0,04;0,12;0,00;0,00
0,22;0,04;0,13;0,00;0,00
0,24;0,04;0,14;0,00;0,00
0,26;0,05;0,16;0,01;0,01
0,28;0,05;0,17;0,01;0,01
0,30;0,05;0,17;0,02;0,02
0,32;0,05;0,17;0,03;0,02
0,34;0,06;0,18;0,03;0,02
0,36;0,06;0,19;0,04;0,03
0,38;0,06;0,20;0,05;0,05
0,40;0,06;0,22;0,05;0,05
0,42;0,06;0,23;0,07;0,07
0,44;0,07;0,24;0,08;0,08
0,46;0,07;0,24;0,08;0,08
0,48;0,07;0,25;0,10;0,10
0,50;0,07;0,25;0,12;0,11
0,52;0,08;0,26;0,12;0,11
0,54;0,08;0,28;0,13;0,13
0,56;0,08;0,30;0,15;0,15
0,58;0,08;0,30;0,16;0,16
0,60;0,08;0,31;0,16;0,16
0,62;0,09;0,31;0,17;0,17
0,64;0,09;0,32;0,18;0,18
0,66;0,09;0,33;0,18;0,18
0,68;0,09;0,35;0,18;0,18
0,70;0,10;0,37;0,18;0,18
0,72;0,10;0,38;0,18;0,18
0,74;0,10;0,38;0,17;0,17
0,76;0,10;0,38;0,16;0,15
0,78;0,11;0,38;0,16;0,15
0,80;0,11;0,39;0,14;0,14
0,82;0,11;0,40;0,11;0,10
0,84;0,11;0,42;0,08;0,08
0,86;0,11;0,44;0,08;0,08
0,88;0,12;0,45;0,05;0,05
0,90;0,12;0,45;0,05;0,05
0,92;0,12;0,46;0,03;0,03
0,94;0,13;0,46;0,01;0,01
0,96;0,13;0,47;0,00;-0,01
0,98;0,13;0,49;0,00;-0,01
1,00;0,13;0,51;0,00;-0,03
1,02;0,13;0,52;0,00;-0,04
1,04;0,14;0,52;0,00;-0,04
1,06;0,14;0,53;0,00;-0,06
1,08;0,14;0,54;0,00;-0,07
1,10;0,14;0,54;0,00;-0,07
1,12;0,15;0,55;0,00;-0,07
1,14;0,15;0,58;0,00;-0,08
1,16;0,15;0,59;0,00;-0,08
1,18;0,15;0,59;0,00;-0,08
1,20;0,16;0,59;0,00;-0,09
1,22;0,16;0,61;0,00;-0,10
1,24;0,16;0,61;0,00;-0,10
1,26;0,16;0,62;0,00;-0,11
1,28;0,16;0,64;0,00;-0,11
1,30;0,17;0,67;0,00;-0,11
1,32;0,17;0,67;0,00;-0,11
1,34;0,17;0,68;0,00;-0,11
1,36;0,17;0,68;0,00;-0,11
1,38;0,18;0,69;0,00;-0,10
1,40;0,18;0,69;0,00;-0,10
1,42;0,18;0,70;0,00;-0,10
1,44;0,18;0,73;0,00;-0,09
1,46;0,18;0,74;0,00;-0,08
1,48;0,19;0,75;0,00;-0,08
1,50;0,19;0,75;0,00;-0,07
1,52;0,19;0,76;0,00;-0,06
1,54;0,20;0,77;0,00;-0,05
1,56;0,20;0,78;0,00;-0,05
1,58;0,20;0,80;0,00;-0,05
1,60;0,20;0,81;0,00;-0,04
1,62;0,20;0,82;0,00;-0,04
1,64;0,21;0,83;0,00;-0,03
1,66;0,21;0,83;0,00;-0,03
1,68;0,21;0,84;0,00;-0,03
1,70;0,21;0,85;0,00;-0,01
1,72;0,22;0,86;0,01;0,01
1,74;0,22;0,89;0,01;0,01
1,76;0,22;0,90;0,03;0,03
1,78;0,22;0,90;0,05;0,05
1,80;0,23;0,91;0,05;0,05
1,82;0,23;0,92;0,07;0,07
1,84;0,23;0,92;0,09;0,09
1,86;0,23;0,94;0,11;0,11
1,88;0,23;0,96;0,11;0,11
1,90;0,24;0,97;0,15;0,14
1,92;0,24;0,98;0,17;0,17
1,94;0,24;0,98;0,17;0,17
1,96;0,24;0,99;0,20;0,20
