Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,14;0,00;0,00;0,00
0,04;0,14;0,01;0,00;0,00
0,06;0,14;0,03;0,00;0,00
0,08;0,14;0,04;0,00;0,00
0,10;0,14;0,05;0,00;0,00
0,12;0,14;0,08;0,00;0,00
0,14;0,14;0,10;0,00;0,00
0,16;0,14;0,12;0,00;0,01
0,18;0,14;0,13;0,00;0,01
0,20;0,14;0,13;0,00;0,01
0,22;0,14;0,13;0,00;0,01
0,24;0,15;0,17;0,00;0,01
0,26;0,15;0,20;0,00;0,01
0,28;0,15;0,18;0,00;0,01
0,30;0,15;0,17;0,00;0,01
0,32;0,16;0,13;0,00;0,01
0,34;0,16;0,09;0,00;0,01
0,36;0,17;0,05;0,00;0,01
0,38;0,18;0,06;0,01;0,01
0,40;0,18;0,07;0,01;0,01
0,42;0,19;0,10;0,01;0,01
0,44;0,19;0,10;0,01;0,02
0,46;0,20;0,08;0,01;0,02
0,48;0,20;0,10;0,02;0,02
0,50;0,21;0,11;0,02;0,03
0,52;0,22;0,10;0,02;0,03
0,54;0,22;0,10;0,03;0,04
0,56;0,23;0,12;0,04;0,04
0,58;0,23;0,10;0,05;0,06
0,60;0,24;0,11;0,05;0,06
0,62;0,25;0,11;0,06;0,07
0,64;0,25;0,11;0,07;0,08
0,66;0,26;0,12;0,07;0,08
0,68;0,26;0,13;0,09;0,09
0,70;0,27;0,10;0,10;0,10
0,72;0,27;0,12;0,10;0,10
0,74;0,28;0,13;0,11;0,12
0,76;0,29;0,12;0,13;0,13
0,78;0,29;0,14;0,13;0,13
0,80;0,30;0,16;0,14;0,15
0,82;0,30;0,15;0,16;0,16
0,84;0,31;0,16;0,18;0,18
0,86;0,32;0,16;0,18;0,18
0,88;0,32;0,14;0,19;0,19
0,90;0,33;0,17;0,21;0,21
0,92;0,33;0,16;0,21;0,21
0,94;0,34;0,14;0,22;0,23
0,96;0,34;0,17;0,24;0,24
0,98;0,35;0,17;0,24;0,24
1,00;0,36;0,14;0,26;0,26
1,02;0,36;0,17;0,27;0,28
1,04;0,37;0,18;0,27;0,28
1,06;0,37;0,16;0,29;0,29
1,08;0,38;0,19;0,30;0,31
1,10;0,39;0,20;0,30;0,31
1,12;0,39;0,19;0,32;0,32
1,14;0,40;0,22;0,33;0,34
1,16;0,40;0,22;0,35;0,35
1,18;0,41;0,20;0,35;0,35
1,20;0,41;0,24;0,37;0,37
1,22;0,42;0,24;0,38;0,39
1,24;0,43;0,24;0,38;0,39
1,26;0,43;0,28;0,43;0,43
1,28;0,44;0,29;0,47;0,48
1,30;0,44;0,28;0,52;0,52
1,32;0,45;0,32;0,52;0,52
1,34;0,46;0,32;0,56;0,56
1,36;0,46;0,32;0,60;0,60
1,38;0,47;0,37;0,60;0,60
1,40;0,47;0,38;0,64;0,64
1,42;0,48;0,37;0,67;0,67
1,44;0,49;0,43;0,67;0,67
1,46;0,49;0,43;0,70;0,70
1,48;0,50;0,43;0,73;0,73
