Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,05;0,09;0,00;0,00
0,04;0,05;0,09;0,00;0,00
0,06;0,05;0,09;0,00;0,00
0,08;0,05;0,09;0,00;0,00
0,10;0,05;0,09;0,00;0,00
0,12;0,06;0,09;0,00;0,00
0,14;0,06;0,09;0,00;0,00
0,16;0,06;0,09;0,00;0,00
0,18;0,06;0,09;0,00;0,00
0,20;0,06;0,10;0,00;0,00
0,22;0,06;0,10;0,00;0,00
0,24;0,06;0,10;0,00;0,00
0,26;0,06;0,10;0,00;0,00
0,28;0,06;0,11;0,00;0,00
0,30;0,06;0,11;0,00;0,00
0,32;0,06;0,14;0,00;0,00
0,34;0,06;0,20;0,00;0,00
0,36;0,06;0,19;0,00;0,00
0,38;0,07;0,21;0,00;0,00
0,40;0,07;0,24;0,00;0,00
0,42;0,08;0,27;0,00;0,00
0,44;0,08;0,27;0,01;0,00
0,46;0,09;0,33;0,01;0,01
0,48;0,10;0,39;0,01;0,01
0,50;0,10;0,44;0,01;0,01
0,52;0,11;0,46;0,02;0,02
0,54;0,11;0,51;0,03;0,03
0,56;0,12;0,58;0,03;0,03
0,58;0,12;0,59;0,04;0,04
0,60;0,13;0,65;0,06;0,05
0,62;0,14;0,71;0,06;0,05
0,64;0,14;0,74;0,07;0,07
0,66;0,15;0,79;0,09;0,09
0,68;0,15;0,85;0,09;0,09
0,70;0,16;0,86;0,11;0,11
0,72;0,17;0,92;0,13;0,13
0,74;0,17;0,98;0,16;0,16
0,76;0,18;0,99;0,16;0,16
0,78;0,18;1,04;0,18;0,18
0,80;0,19;1,11;0,20;0,20
0,82;0,19;1,12;0,20;0,20
0,84;0,20;1,17;0,22;0,22
0,86;0,21;1,23;0,24;0,23
0,88;0,21;1,25;0,24;0,23
0,90;0,22;1,30;0,25;0,25
0,92;0,22;1,35;0,27;0,27
0,94;0,23;1,37;0,27;0,27
0,96;0,24;1,42;0,28;0,28
0,98;0,24;1,47;0,30;0,30
1,00;0,25;1,48;0,30;0,30
1,02;0,25;1,54;0,31;0,31
1,04;0,26;1,59;0,33;0,33
1,06;0,26;1,61;0,35;0,34
1,08;0,27;1,66;0,35;0,34
1,10;0,28;1,71;0,36;0,36
1,12;0,28;1,73;0,38;0,37
1,14;0,29;1,78;0,38;0,37
1,16;0,29;1,82;0,39;0,39
1,18;0,30;1,84;0,41;0,41
1,20;0,31;1,90;0,41;0,41
1,22;0,31;1,94;0,42;0,42
1,24;0,32;1,96;0,44;0,44
1,26;0,32;2,02;0,44;0,44
1,28;0,33;2,06;0,45;0,45
1,30;0,33;2,08;0,47;0,47
1,32;0,34;2,14;0,47;0,47
1,34;0,35;2,18;0,48;0,48
1,36;0,35;2,19;0,50;0,50
1,38;0,36;2,25;0,50;0,50
1,40;0,36;2,29;0,51;0,51
1,42;0,37;2,30;0,53;0,53
1,44;0,38;2,37;0,55;0,54
1,46;0,38;2,40;0,55;0,54
1,48;0,39;2,42;0,56;0,56
1,50;0,39;2,48;0,58;0,57
1,52;0,40;2,51;0,58;0,57
1,54;0,40;2,53;0,59;0,59
1,56;0,41;2,59;0,61;0,60
1,58;0,42;2,62;0,61;0,60
1,60;0,42;2,64;0,62;0,62
1,62;0,43;2,71;0,64;0,63
1,64;0,43;2,73;0,65;0,65
1,66;0,44;2,75;0,65;0,65
1,68;0,45;2,82;0,67;0,67
1,70;0,45;2,84;0,68;0,68
1,72;0,46;2,86;0,68;0,68
1,74;0,46;2,92;0,70;0,70
1,76;0,47;2,95;0,71;0,71
1,78;0,47;2,96;0,71;0,71
