Zeit;Weg;Kraft;Länge;dL_ORG
29,32;0,98;0,12;1,25;1,25
29,34;0,98;0,12;1,25;1,25
29,36;0,98;0,12;1,25;1,25
29,38;0,98;0,12;1,25;1,25
29,40;0,99;0,12;1,25;1,25
29,42;0,99;0,12;1,25;1,25
29,44;0,99;0,12;1,25;1,26
29,46;0,99;0,12;1,25;1,26
29,48;0,99;0,12;1,25;1,26
29,50;0,99;0,12;1,26;1,26
29,52;0,99;0,12;1,26;1,26
29,54;0,99;0,12;1,26;1,26
29,56;0,99;0,13;1,26;1,26
29,58;0,99;0,13;1,26;1,26
29,60;0,99;0,13;1,26;1,26
29,62;0,99;0,12;1,26;1,26
29,64;0,99;0,13;1,27;1,27
29,66;0,99;0,13;1,27;1,27
29,68;1,00;0,13;1,27;1,27
29,70;1,00;0,13;1,27;1,27
29,72;1,00;0,13;1,27;1,27
29,74;1,00;0,13;1,28;1,28
29,76;1,00;0,13;1,28;1,28
29,78;1,00;0,13;1,28;1,28
29,80;1,00;0,14;1,28;1,29
29,82;1,00;0,14;1,29;1,29
29,84;1,00;0,14;1,29;1,29
29,86;1,00;0,14;1,29;1,29
29,88;1,00;0,14;1,29;1,29
29,90;1,00;0,14;1,30;1,30
29,92;1,00;0,14;1,30;1,30
29,94;1,00;0,14;1,30;1,30
29,96;1,00;0,15;1,30;1,31
29,98;1,01;0,15;1,30;1,31
30,00;1,01;0,15;1,31;1,31
30,02;1,01;0,15;1,31;1,31
30,04;1,01;0,16;1,31;1,31
30,06;1,01;0,16;1,31;1,31
30,08;1,01;0,16;1,31;1,31
30,10;1,01;0,16;1,31;1,31
30,12;1,01;0,16;1,31;1,31
30,14;1,01;0,16;1,31;1,31
30,16;1,01;0,16;1,31;1,31
30,18;1,01;0,16;1,32;1,32
30,20;1,01;0,17;1,32;1,32
30,22;1,01;0,17;1,32;1,32
30,24;1,01;0,17;1,32;1,32
30,26;1,01;0,17;1,32;1,32
30,28;1,01;0,17;1,32;1,32
30,30;1,02;0,17;1,32;1,32
30,32;1,02;0,17;1,32;1,32
30,34;1,02;0,17;1,32;1,33
30,36;1,02;0,17;1,32;1,33
30,38;1,02;0,17;1,33;1,33
30,40;1,02;0,17;1,33;1,33
30,42;1,02;0,18;1,33;1,33
30,44;1,02;0,18;1,33;1,33
30,46;1,02;0,19;1,33;1,33
30,48;1,02;0,19;1,33;1,34
30,50;1,02;0,19;1,34;1,34
30,52;1,02;0,19;1,34;1,34
30,54;1,02;0,19;1,34;1,34
30,56;1,02;0,19;1,34;1,34
30,58;1,03;0,20;1,34;1,34
30,60;1,03;0,20;1,34;1,34
30,62;1,03;0,20;1,34;1,34
30,64;1,03;0,21;1,34;1,34
30,66;1,03;0,21;1,34;1,34
30,68;1,03;0,21;1,34;1,34
30,70;1,03;0,21;1,34;1,34
30,72;1,03;0,21;1,34;1,34
30,74;1,03;0,22;1,34;1,34
30,76;1,03;0,22;1,34;1,34
30,78;1,03;0,22;1,34;1,34
30,80;1,03;0,23;1,34;1,34
30,82;1,03;0,23;1,34;1,34
30,84;1,03;0,23;1,34;1,34
30,86;1,03;0,23;1,34;1,34
30,88;1,03;0,23;1,34;1,34
30,90;1,04;0,24;1,34;1,34
30,92;1,04;0,24;1,34;1,34
30,94;1,04;0,24;1,34;1,34
30,96;1,04;0,24;1,34;1,34
30,98;1,04;0,25;1,34;1,34
31,00;1,04;0,25;1,34;1,34
31,02;1,04;0,25;1,34;1,35
31,04;1,04;0,25;1,34;1,35
31,06;1,04;0,26;1,34;1,34
31,08;1,04;0,26;1,34;1,34
31,10;1,04;0,27;1,34;1,34
31,12;1,04;0,27;1,34;1,34
31,14;1,04;0,27;1,34;1,34
31,16;1,04;0,28;1,34;1,34
31,18;1,05;0,28;1,34;1,34
31,20;1,05;0,28;1,34;1,34
31,22;1,05;0,28;1,34;1,34
31,24;1,05;0,28;1,34;1,34
31,26;1,05;0,28;1,34;1,34
31,28;1,05;0,28;1,35;1,35
31,30;1,05;0,28;1,35;1,35
31,32;1,05;0,29;1,35;1,35
31,34;1,05;0,29;1,35;1,35
31,36;1,05;0,29;1,35;1,35
31,38;1,05;0,29;1,35;1,36
31,40;1,05;0,29;1,35;1,36
31,42;1,05;0,30;1,36;1,36
31,44;1,05;0,30;1,36;1,36
31,46;1,05;0,30;1,36;1,36
31,48;1,05;0,31;1,37;1,37
31,50;1,06;0,31;1,37;1,37
31,52;1,06;0,31;1,37;1,37
31,54;1,06;0,31;1,38;1,38
31,56;1,06;0,31;1,38;1,38
31,58;1,06;0,31;1,38;1,38
31,60;1,06;0,31;1,39;1,39
31,62;1,06;0,32;1,39;1,39
31,64;1,06;0,32;1,39;1,39
31,66;1,06;0,32;1,39;1,39
31,68;1,06;0,32;1,40;1,40
31,70;1,06;0,33;1,41;1,41
31,72;1,06;0,33;1,41;1,41
31,74;1,06;0,33;1,41;1,41
31,76;1,06;0,34;1,42;1,42
31,78;1,06;0,34;1,42;1,42
31,80;1,07;0,34;1,42;1,42
31,82;1,07;0,34;1,42;1,42
31,84;1,07;0,34;1,43;1,43
31,86;1,07;0,35;1,43;1,43
31,88;1,07;0,35;1,43;1,43
31,90;1,07;0,35;1,44;1,44
31,92;1,07;0,35;1,44;1,44
31,94;1,07;0,35;1,44;1,44
31,96;1,07;0,36;1,44;1,44
31,98;1,07;0,36;1,44;1,44
32,00;1,07;0,36;1,45;1,45
32,02;1,07;0,36;1,45;1,45
32,04;1,07;0,37;1,45;1,45
32,06;1,07;0,37;1,45;1,45
32,08;1,08;0,38;1,45;1,45
32,10;1,08;0,38;1,45;1,45
32,12;1,08;0,38;1,45;1,46
