Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,02;-0,27;0,00;0,00
0,04;0,02;-0,25;0,00;0,00
0,06;0,02;-0,22;0,00;0,00
0,08;0,02;-0,18;0,00;0,00
0,10;0,02;-0,13;0,00;-0,01
0,12;0,02;-0,06;0,00;-0,01
0,14;0,02;0,00;0,00;-0,01
0,16;0,02;0,09;0,00;-0,01
0,18;0,02;0,19;0,00;-0,01
0,20;0,02;0,28;0,00;-0,01
0,22;0,02;0,38;0,00;-0,01
0,24;0,02;0,46;0,00;-0,01
0,26;0,02;0,55;0,00;-0,01
0,28;0,02;0,69;0,00;-0,01
0,30;0,02;0,83;0,00;-0,01
0,32;0,03;0,92;0,00;-0,01
0,34;0,03;1,01;0,00;-0,01
0,36;0,04;1,06;0,00;-0,01
0,38;0,04;1,03;0,00;-0,01
0,40;0,05;0,98;0,00;-0,01
0,42;0,05;1,01;0,00;-0,01
0,44;0,06;0,99;0,00;-0,01
0,46;0,06;0,96;0,00;-0,01
0,48;0,07;0,97;0,00;-0,01
0,50;0,07;0,99;0,00;-0,02
0,52;0,08;0,94;0,00;-0,02
0,54;0,08;0,95;0,00;-0,02
0,56;0,09;0,98;0,00;-0,02
0,58;0,09;0,97;0,00;-0,02
0,60;0,10;0,94;0,00;-0,03
0,62;0,10;0,95;0,00;-0,03
0,64;0,11;0,96;0,00;-0,03
0,66;0,11;0,94;0,00;-0,03
0,68;0,12;0,94;0,00;-0,04
0,70;0,12;0,99;0,00;-0,05
0,72;0,13;0,99;0,00;-0,05
0,74;0,13;1,00;0,00;-0,06
0,76;0,14;1,05;0,00;-0,06
0,78;0,14;1,07;0,00;-0,07
0,80;0,15;1,07;0,00;-0,08
0,82;0,15;1,11;0,00;-0,08
0,84;0,16;1,14;0,00;-0,09
0,86;0,16;1,12;0,00;-0,09
0,88;0,17;1,13;0,00;-0,10
0,90;0,17;1,17;0,00;-0,10
0,92;0,18;1,17;0,00;-0,11
0,94;0,18;1,16;0,00;-0,13
0,96;0,19;1,18;0,00;-0,13
0,98;0,19;1,20;0,00;-0,15
1,00;0,20;1,16;0,00;-0,15
1,02;0,20;1,14;0,00;-0,17
1,04;0,21;1,17;0,00;-0,19
1,06;0,21;1,16;0,00;-0,19
1,08;0,22;1,14;0,00;-0,21
1,10;0,22;1,16;0,00;-0,21
1,12;0,23;1,17;0,00;-0,23
1,14;0,23;1,14;0,00;-0,26
1,16;0,24;1,12;0,00;-0,26
1,18;0,24;1,14;0,00;-0,28
1,20;0,25;1,13;0,00;-0,28
1,22;0,25;1,08;0,00;-0,30
1,24;0,26;1,09;0,00;-0,31
1,26;0,26;1,09;0,00;-0,31
1,28;0,27;1,05;0,00;-0,33
1,30;0,27;1,04;0,00;-0,33
1,32;0,28;1,08;0,00;-0,34
1,34;0,28;1,09;0,00;-0,35
1,36;0,29;1,08;0,00;-0,35
1,38;0,29;1,12;0,00;-0,36
1,40;0,30;1,15;0,00;-0,36
1,42;0,30;1,11;0,00;-0,37
1,44;0,31;1,10;0,00;-0,37
1,46;0,31;1,13;0,00;-0,37
1,48;0,32;1,11;0,00;-0,38
1,50;0,32;1,08;0,00;-0,38
1,52;0,33;1,10;0,00;-0,38
1,54;0,33;1,12;0,00;-0,39
1,56;0,34;1,09;0,00;-0,39
1,58;0,34;1,10;0,00;-0,39
1,60;0,35;1,13;0,00;-0,39
1,62;0,35;1,13;0,00;-0,39
1,64;0,36;1,12;0,00;-0,39
1,66;0,36;1,15;0,00;-0,39
1,68;0,37;1,18;0,00;-0,39
1,70;0,37;1,17;0,00;-0,39
1,72;0,38;1,19;0,00;-0,39
1,74;0,38;1,23;0,00;-0,39
1,76;0,39;1,22;0,00;-0,38
1,78;0,39;1,22;0,00;-0,38
1,80;0,40;1,26;0,00;-0,38
1,82;0,40;1,28;0,00;-0,37
1,84;0,41;1,27;0,00;-0,37
1,86;0,41;1,30;0,00;-0,36
1,88;0,42;1,35;0,00;-0,35
1,90;0,42;1,35;0,00;-0,35
1,92;0,43;1,36;0,00;-0,35
1,94;0,43;1,42;0,00;-0,35
1,96;0,44;1,45;0,00;-0,34
1,98;0,44;1,45;0,00;-0,33
2,00;0,45;1,49;0,00;-0,33
2,02;0,45;1,54;0,00;-0,32
2,04;0,46;1,55;0,00;-0,32
2,06;0,46;1,57;0,00;-0,32
2,08;0,47;1,61;0,00;-0,31
2,10;0,47;1,60;0,00;-0,31
2,12;0,48;1,58;0,00;-0,30
2,14;0,48;1,60;0,00;-0,30
2,16;0,49;1,62;0,00;-0,29
2,18;0,49;1,61;0,00;-0,28
2,20;0,50;1,62;0,00;-0,28
2,22;0,50;1,65;0,00;-0,27
2,24;0,51;1,65;0,00;-0,27
2,26;0,51;1,64;0,00;-0,26
2,28;0,52;1,68;0,00;-0,25
2,30;0,52;1,73;0,00;-0,25
2,32;0,53;1,73;0,00;-0,24
2,34;0,53;1,76;0,00;-0,24
2,36;0,54;1,81;0,00;-0,23
2,38;0,54;1,83;0,00;-0,21
2,40;0,55;1,82;0,00;-0,21
2,42;0,55;1,86;0,00;-0,20
2,44;0,56;1,89;0,00;-0,20
2,46;0,56;1,89;0,00;-0,19
2,48;0,57;1,91;0,00;-0,19
2,50;0,57;1,97;0,00;-0,18
2,52;0,58;1,97;0,00;-0,17
2,54;0,58;1,97;0,00;-0,17
2,56;0,59;2,01;0,00;-0,15
2,58;0,59;2,04;0,00;-0,15
2,60;0,60;2,03;0,00;-0,14
2,62;0,60;2,05;0,00;-0,13
2,64;0,61;2,10;0,00;-0,13
2,66;0,61;2,11;0,00;-0,12
2,68;0,62;2,11;0,00;-0,12
2,70;0,62;2,15;0,00;-0,10
2,72;0,63;2,18;0,00;-0,09
2,74;0,63;2,16;0,00;-0,09
2,76;0,64;2,17;0,00;-0,08
2,78;0,64;2,22;0,00;-0,08
2,80;0,65;2,21;0,00;-0,06
2,82;0,65;2,21;0,00;-0,05
2,84;0,66;2,24;0,00;-0,05
2,86;0,66;2,27;0,00;-0,04
2,88;0,67;2,26;0,00;-0,04
2,90;0,67;2,30;0,00;-0,02
2,92;0,68;2,35;0,00;-0,01
2,94;0,68;2,36;0,00;-0,01
2,96;0,69;2,39;0,01;0,00
2,98;0,69;2,44;0,01;0,00
3,00;0,70;2,47;0,02;0,01
3,02;0,70;2,46;0,04;0,03
3,04;0,71;2,49;0,04;0,03
3,06;0,71;2,52;0,05;0,04
3,08;0,72;2,50;0,05;0,04
3,10;0,72;2,49;0,06;0,05
3,12;0,73;2,54;0,06;0,05
3,14;0,73;2,55;0,08;0,07
3,16;0,74;2,55;0,09;0,08
3,18;0,74;2,59;0,09;0,08
3,20;0,75;2,64;0,10;0,09
3,22;0,75;2,64;0,10;0,09
3,24;0,76;2,66;0,11;0,11
3,26;0,76;2,71;0,13;0,12
3,28;0,77;2,74;0,13;0,12
3,30;0,77;2,74;0,14;0,13
3,32;0,78;2,79;0,14;0,13
3,34;0,78;2,82;0,15;0,14
3,36;0,79;2,81;0,16;0,16
3,38;0,79;2,82;0,16;0,16
3,40;0,80;2,86;0,18;0,17
3,42;0,80;2,86;0,18;0,17
3,44;0,81;2,86;0,19;0,18
3,46;0,81;2,88;0,20;0,19
3,48;0,82;2,92;0,20;0,19
3,50;0,82;2,91;0,22;0,21
3,52;0,83;2,93;0,22;0,21
3,54;0,83;2,98;0,23;0,22
3,56;0,84;3,01;0,24;0,23
3,58;0,84;3,02;0,24;0,23
3,60;0,85;3,07;0,26;0,25
3,62;0,85;3,11;0,26;0,25
3,64;0,86;3,11;0,27;0,26
3,66;0,86;3,12;0,28;0,27
3,68;0,87;3,17;0,28;0,27
3,70;0,87;3,17;0,30;0,29
3,72;0,88;3,18;0,30;0,29
3,74;0,88;3,23;0,31;0,30
3,76;0,89;3,26;0,32;0,31
3,78;0,89;3,26;0,32;0,31
3,80;0,90;3,29;0,33;0,33
3,82;0,90;3,33;0,33;0,33
3,84;0,91;3,33;0,35;0,34
3,86;0,91;3,32;0,36;0,35
3,88;0,92;3,36;0,36;0,35
3,90;0,92;3,38;0,37;0,37
3,92;0,93;3,37;0,37;0,37
3,94;0,93;3,39;0,39;0,38
3,96;0,94;3,42;0,39;0,38
3,98;0,94;3,42;0,40;0,39
4,00;0,95;3,41;0,42;0,41
4,02;0,95;3,44;0,42;0,41
4,04;0,96;3,46;0,43;0,42
4,06;0,96;3,45;0,43;0,42
4,08;0,97;3,47;0,44;0,43
4,10;0,97;3,52;0,46;0,45
4,12;0,98;3,53;0,46;0,45
4,14;0,98;3,53;0,47;0,46
4,16;0,99;3,56;0,47;0,46
4,18;0,99;3,57;0,48;0,47
4,20;1,00;3,55;0,50;0,49
4,22;1,00;3,57;0,50;0,49
4,24;1,01;3,60;0,51;0,50
4,26;1,01;3,59;0,51;0,50
4,28;1,02;3,59;0,52;0,51
4,30;1,02;3,63;0,53;0,52
4,32;1,03;3,64;0,53;0,52
4,34;1,03;3,63;0,54;0,54
4,36;1,04;3,65;0,54;0,54
4,38;1,04;3,69;0,56;0,55
4,40;1,05;3,68;0,57;0,56
4,42;1,05;3,69;0,57;0,56
4,44;1,06;3,73;0,58;0,57
4,46;1,06;3,74;0,58;0,57
4,48;1,07;3,73;0,59;0,58
4,50;1,07;3,77;0,60;0,60
4,52;1,08;3,81;0,60;0,60
4,54;1,08;3,80;0,62;0,61
4,56;1,09;3,81;0,62;0,61
4,58;1,09;3,85;0,63;0,62
4,60;1,10;3,85;0,63;0,62
4,62;1,10;3,84;0,64;0,63
4,64;1,11;3,87;0,66;0,65
4,66;1,11;3,90;0,66;0,65
4,68;1,12;3,89;0,67;0,66
4,70;1,12;3,89;0,68;0,67
4,72;1,13;3,93;0,68;0,67
4,74;1,13;3,94;0,70;0,69
4,76;1,14;3,93;0,70;0,69
4,78;1,14;3,97;0,71;0,70
4,80;1,15;4,00;0,71;0,70
4,82;1,15;3,98;0,72;0,71
4,84;1,16;3,99;0,73;0,73
4,86;1,16;4,02;0,73;0,73
4,88;1,17;4,01;0,75;0,74
4,90;1,17;3,99;0,75;0,74
4,92;1,18;4,02;0,76;0,75
4,94;1,18;4,04;0,77;0,76
4,96;1,19;4,01;0,77;0,76
4,98;1,19;4,02;0,78;0,77
5,00;1,20;4,05;0,78;0,77
5,02;1,20;4,04;0,79;0,78
5,04;1,21;4,04;0,80;0,80
5,06;1,21;4,07;0,80;0,80
5,08;1,22;4,09;0,81;0,81
5,10;1,22;4,07;0,81;0,81
5,12;1,23;4,09;0,83;0,82
5,14;1,23;4,13;0,84;0,83
5,16;1,24;4,12;0,84;0,83
5,18;1,24;4,11;0,85;0,84
5,20;1,25;4,15;0,85;0,84
5,22;1,25;4,17;0,86;0,85
5,24;1,26;4,15;0,88;0,87
5,26;1,26;4,17;0,88;0,87
5,28;1,27;4,21;0,89;0,88
5,30;1,27;4,20;0,89;0,88
5,32;1,28;4,19;0,90;0,89
5,34;1,28;4,23;0,92;0,91
5,36;1,29;4,24;0,92;0,91
5,38;1,29;4,24;0,93;0,92
5,40;1,30;4,27;0,93;0,92
5,42;1,30;4,31;0,94;0,94
5,44;1,31;4,30;0,94;0,94
5,46;1,31;4,31;0,96;0,95
5,48;1,32;4,34;0,97;0,96
5,50;1,32;4,35;0,97;0,96
5,52;1,33;4,33;0,98;0,97
5,54;1,33;4,34;0,98;0,97
5,56;1,34;4,37;1,00;0,99
5,58;1,34;4,35;1,01;1,00
5,60;1,35;4,34;1,01;1,00
5,62;1,35;4,37;1,02;1,01
5,64;1,36;4,37;1,02;1,01
5,66;1,36;4,35;1,04;1,03
5,68;1,37;4,37;1,05;1,04
5,70;1,37;4,40;1,05;1,04
5,72;1,38;4,39;1,06;1,05
5,74;1,38;4,39;1,06;1,05
5,76;1,39;4,43;1,08;1,07
5,78;1,39;4,43;1,09;1,08
5,80;1,40;4,41;1,09;1,08
5,82;1,40;4,44;1,10;1,09
5,84;1,41;4,46;1,10;1,09
5,86;1,41;4,44;1,12;1,11
5,88;1,42;4,44;1,13;1,12
5,90;1,42;4,47;1,13;1,12
5,92;1,43;4,46;1,14;1,13
5,94;1,43;4,44;1,14;1,13
5,96;1,44;4,46;1,16;1,15
5,98;1,44;4,49;1,17;1,16
6,00;1,45;4,47;1,17;1,16
6,02;1,45;4,47;1,18;1,17
6,04;1,46;4,50;1,18;1,17
6,06;1,46;4,49;1,20;1,19
6,08;1,47;4,47;1,21;1,20
6,10;1,47;4,50;1,21;1,20
6,12;1,48;4,51;1,22;1,21
6,14;1,48;4,49;1,22;1,21
6,16;1,49;4,50;1,24;1,23
6,18;1,49;4,53;1,25;1,24
6,20;1,50;4,51;1,25;1,24
6,22;1,50;4,49;1,26;1,25
6,24;1,51;4,52;1,26;1,25
6,26;1,51;4,52;1,28;1,27
6,28;1,52;4,48;1,28;1,27
6,30;1,52;4,49;1,29;1,28
6,32;1,53;4,51;1,30;1,29
6,34;1,53;4,48;1,30;1,29
6,36;1,54;4,47;1,31;1,30
6,38;1,54;4,49;1,33;1,32
6,40;1,55;4,50;1,33;1,32
6,42;1,55;4,47;1,34;1,33
6,44;1,56;4,49;1,34;1,33
6,46;1,56;4,52;1,35;1,34
6,48;1,57;4,51;1,35;1,34
6,50;1,57;4,50;1,37;1,36
6,52;1,58;4,53;1,38;1,37
6,54;1,58;4,54;1,38;1,37
