Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,02;0,10;0,00;0,00
0,04;0,02;0,10;0,00;0,00
0,06;0,02;0,10;0,00;0,00
0,08;0,02;0,10;0,00;0,00
0,10;0,02;0,10;0,00;0,00
0,12;0,02;0,10;0,00;0,00
0,14;0,02;0,10;0,00;0,00
0,16;0,02;0,10;0,00;0,00
0,18;0,02;0,11;0,00;0,00
0,20;0,02;0,11;0,00;0,00
0,22;0,02;0,11;0,00;0,00
0,24;0,02;0,11;0,00;0,00
0,26;0,02;0,11;0,00;0,00
0,28;0,02;0,11;0,00;0,00
0,30;0,02;0,11;0,01;0,00
0,32;0,02;0,12;0,01;0,00
0,34;0,02;0,12;0,01;0,01
0,36;0,02;0,12;0,01;0,01
0,38;0,03;0,13;0,01;0,01
0,40;0,03;0,13;0,01;0,01
0,42;0,03;0,13;0,01;0,01
0,44;0,03;0,13;0,01;0,01
0,46;0,03;0,13;0,01;0,01
0,48;0,03;0,13;0,02;0,01
0,50;0,03;0,13;0,02;0,01
0,52;0,03;0,14;0,02;0,02
0,54;0,03;0,14;0,02;0,02
0,56;0,03;0,14;0,02;0,02
0,58;0,03;0,14;0,02;0,02
0,60;0,03;0,15;0,02;0,02
0,62;0,03;0,15;0,02;0,02
0,64;0,03;0,15;0,02;0,02
0,66;0,03;0,15;0,02;0,02
0,68;0,03;0,15;0,03;0,02
0,70;0,03;0,15;0,03;0,02
0,72;0,03;0,15;0,03;0,03
0,74;0,03;0,15;0,03;0,03
0,76;0,03;0,16;0,03;0,03
0,78;0,03;0,16;0,03;0,03
0,80;0,03;0,16;0,03;0,03
0,82;0,03;0,17;0,03;0,03
0,84;0,03;0,17;0,03;0,03
0,86;0,03;0,17;0,03;0,03
0,88;0,03;0,17;0,03;0,03
0,90;0,03;0,17;0,03;0,03
0,92;0,03;0,17;0,03;0,03
0,94;0,03;0,17;0,03;0,03
0,96;0,04;0,17;0,03;0,03
0,98;0,04;0,18;0,04;0,03
1,00;0,04;0,18;0,04;0,03
1,02;0,04;0,18;0,04;0,04
1,04;0,04;0,19;0,04;0,04
1,06;0,04;0,19;0,04;0,04
1,08;0,04;0,19;0,04;0,04
1,10;0,04;0,19;0,04;0,04
1,12;0,04;0,19;0,04;0,04
1,14;0,04;0,19;0,04;0,04
1,16;0,04;0,19;0,04;0,04
1,18;0,04;0,20;0,04;0,04
1,20;0,04;0,20;0,04;0,04
1,22;0,04;0,20;0,04;0,04
1,24;0,04;0,20;0,04;0,04
1,26;0,04;0,21;0,04;0,04
1,28;0,04;0,21;0,04;0,04
1,30;0,04;0,21;0,04;0,04
1,32;0,04;0,21;0,04;0,04
1,34;0,04;0,21;0,04;0,04
1,36;0,04;0,22;0,04;0,04
1,38;0,04;0,22;0,04;0,04
1,40;0,04;0,22;0,04;0,04
1,42;0,04;0,22;0,04;0,04
1,44;0,04;0,23;0,04;0,04
1,46;0,04;0,23;0,04;0,04
1,48;0,04;0,23;0,05;0,04
1,50;0,04;0,23;0,05;0,04
1,52;0,04;0,23;0,05;0,05
1,54;0,04;0,23;0,04;0,04
1,56;0,04;0,23;0,04;0,04
1,58;0,05;0,24;0,04;0,04
1,60;0,05;0,24;0,04;0,04
1,62;0,05;0,24;0,04;0,04
1,64;0,05;0,24;0,04;0,04
1,66;0,05;0,24;0,04;0,04
1,68;0,05;0,24;0,04;0,04
1,70;0,05;0,24;0,04;0,04
1,72;0,05;0,25;0,04;0,04
1,74;0,05;0,25;0,04;0,04
1,76;0,05;0,25;0,04;0,04
1,78;0,05;0,25;0,04;0,04
1,80;0,05;0,25;0,04;0,04
1,82;0,05;0,26;0,04;0,04
1,84;0,05;0,26;0,04;0,04
1,86;0,05;0,26;0,04;0,04
1,88;0,05;0,26;0,04;0,04
1,90;0,05;0,26;0,04;0,03
1,92;0,05;0,27;0,03;0,03
1,94;0,05;0,27;0,03;0,03
1,96;0,05;0,27;0,03;0,03
1,98;0,05;0,28;0,03;0,03
2,00;0,05;0,28;0,03;0,03
2,02;0,05;0,28;0,03;0,03
2,04;0,05;0,28;0,03;0,03
2,06;0,05;0,29;0,03;0,03
2,08;0,05;0,29;0,03;0,03
2,10;0,05;0,29;0,03;0,03
2,12;0,05;0,30;0,02;0,02
2,14;0,05;0,30;0,02;0,02
2,16;0,06;0,30;0,02;0,02
2,18;0,06;0,30;0,02;0,02
2,20;0,06;0,30;0,02;0,02
2,22;0,06;0,30;0,02;0,02
2,24;0,06;0,31;0,02;0,02
