Zeit;Weg;Kraft;Länge;dL_ORG
0,02;0,04;0,09;0,00;0,00
0,04;0,04;0,10;0,00;0,00
0,06;0,04;0,10;0,00;0,00
0,08;0,04;0,10;0,00;0,00
0,10;0,04;0,10;0,00;0,00
0,12;0,04;0,10;0,00;0,00
0,14;0,04;0,10;0,00;0,00
0,16;0,04;0,10;0,00;0,00
0,18;0,04;0,10;0,00;0,00
0,20;0,04;0,10;0,00;0,00
0,22;0,04;0,11;0,00;0,00
0,24;0,04;0,11;0,00;0,00
0,26;0,04;0,12;0,00;0,00
0,28;0,04;0,12;0,00;0,00
0,30;0,04;0,12;0,00;0,00
0,32;0,05;0,12;0,00;0,00
0,34;0,05;0,13;0,00;0,00
0,36;0,05;0,13;0,00;0,00
0,38;0,05;0,13;0,00;0,00
0,40;0,05;0,14;0,01;0,01
0,42;0,05;0,14;0,01;0,01
0,44;0,05;0,15;0,01;0,01
0,46;0,05;0,15;0,01;0,01
0,48;0,05;0,15;0,01;0,01
0,50;0,05;0,16;0,01;0,01
0,52;0,05;0,17;0,01;0,01
0,54;0,06;0,17;0,01;0,01
0,56;0,06;0,18;0,01;0,01
0,58;0,06;0,18;0,02;0,02
0,60;0,06;0,19;0,02;0,02
0,62;0,06;0,19;0,02;0,02
0,64;0,06;0,19;0,02;0,02
0,66;0,06;0,19;0,02;0,02
0,68;0,06;0,20;0,02;0,02
0,70;0,06;0,21;0,02;0,02
0,72;0,07;0,21;0,02;0,02
0,74;0,07;0,22;0,02;0,02
0,76;0,07;0,22;0,02;0,02
0,78;0,07;0,23;0,03;0,03
0,80;0,07;0,23;0,03;0,03
0,82;0,07;0,23;0,03;0,03
0,84;0,07;0,24;0,03;0,03
0,86;0,07;0,24;0,03;0,03
0,88;0,07;0,24;0,03;0,03
0,90;0,07;0,25;0,03;0,03
0,92;0,07;0,25;0,03;0,03
0,94;0,08;0,26;0,03;0,03
0,96;0,08;0,27;0,04;0,04
0,98;0,08;0,27;0,04;0,04
1,00;0,08;0,28;0,04;0,04
1,02;0,08;0,28;0,04;0,04
1,04;0,08;0,29;0,04;0,04
1,06;0,08;0,29;0,04;0,04
1,08;0,08;0,29;0,04;0,04
1,10;0,08;0,29;0,04;0,04
1,12;0,08;0,30;0,05;0,05
1,14;0,09;0,31;0,05;0,05
1,16;0,09;0,31;0,05;0,05
1,18;0,09;0,32;0,05;0,05
1,20;0,09;0,32;0,05;0,05
1,22;0,09;0,33;0,05;0,05
1,24;0,09;0,34;0,05;0,05
1,26;0,09;0,34;0,05;0,05
1,28;0,09;0,34;0,05;0,05
1,30;0,09;0,35;0,05;0,06
1,32;0,09;0,35;0,05;0,06
1,34;0,10;0,35;0,06;0,06
1,36;0,10;0,36;0,06;0,06
1,38;0,10;0,37;0,06;0,06
1,40;0,10;0,37;0,06;0,06
1,42;0,10;0,38;0,06;0,06
1,44;0,10;0,38;0,06;0,06
1,46;0,10;0,39;0,06;0,06
1,48;0,10;0,39;0,06;0,06
1,50;0,10;0,40;0,07;0,07
1,52;0,10;0,41;0,07;0,07
1,54;0,11;0,41;0,07;0,07
1,56;0,11;0,42;0,07;0,07
1,58;0,11;0,42;0,07;0,07
1,60;0,11;0,43;0,07;0,07
1,62;0,11;0,43;0,07;0,07
1,64;0,11;0,44;0,07;0,07
1,66;0,11;0,44;0,07;0,07
1,68;0,11;0,45;0,07;0,07
1,70;0,11;0,45;0,07;0,07
1,72;0,12;0,46;0,08;0,08
1,74;0,12;0,47;0,08;0,08
1,76;0,12;0,47;0,08;0,08
1,78;0,12;0,48;0,08;0,08
1,80;0,12;0,48;0,08;0,08
1,82;0,12;0,49;0,08;0,08
1,84;0,12;0,49;0,08;0,08
1,86;0,12;0,50;0,08;0,08
1,88;0,12;0,50;0,08;0,08
1,90;0,12;0,51;0,08;0,08
1,92;0,12;0,51;0,08;0,08
1,94;0,13;0,52;0,09;0,09
1,96;0,13;0,53;0,09;0,09
1,98;0,13;0,53;0,09;0,09
2,00;0,13;0,54;0,09;0,09
2,02;0,13;0,54;0,09;0,09
2,04;0,13;0,55;0,09;0,09
2,06;0,13;0,55;0,09;0,09
2,08;0,13;0,56;0,09;0,09
2,10;0,13;0,57;0,09;0,09
2,12;0,14;0,57;0,09;0,09
2,14;0,14;0,58;0,10;0,10
2,16;0,14;0,58;0,10;0,10
2,18;0,14;0,59;0,10;0,10
2,20;0,14;0,60;0,10;0,10
2,22;0,14;0,60;0,10;0,10
2,24;0,14;0,60;0,10;0,10
2,26;0,14;0,61;0,10;0,10
2,28;0,14;0,61;0,10;0,10
2,30;0,14;0,63;0,10;0,10
2,32;0,14;0,63;0,10;0,10
2,34;0,15;0,64;0,10;0,10
2,36;0,15;0,65;0,11;0,11
2,38;0,15;0,66;0,11;0,11
2,40;0,15;0,66;0,11;0,11
2,42;0,15;0,67;0,11;0,11
2,44;0,15;0,67;0,11;0,11
2,46;0,15;0,68;0,11;0,11
2,48;0,15;0,69;0,11;0,11
2,50;0,15;0,69;0,11;0,11
2,52;0,15;0,70;0,11;0,12
2,54;0,16;0,71;0,12;0,12
2,56;0,16;0,71;0,12;0,12
2,58;0,16;0,72;0,12;0,12
2,60;0,16;0,72;0,12;0,12
2,62;0,16;0,73;0,12;0,12
2,64;0,16;0,74;0,12;0,12
2,66;0,16;0,74;0,12;0,12
2,68;0,16;0,75;0,12;0,12
2,70;0,16;0,76;0,12;0,13
2,72;0,16;0,77;0,13;0,13
2,74;0,17;0,78;0,13;0,13
2,76;0,17;0,78;0,13;0,13
2,78;0,17;0,79;0,13;0,13
2,80;0,17;0,80;0,13;0,13
2,82;0,17;0,80;0,13;0,13
2,84;0,17;0,81;0,14;0,14
2,86;0,17;0,81;0,14;0,14
2,88;0,17;0,82;0,14;0,14
2,90;0,17;0,83;0,14;0,14
2,92;0,17;0,83;0,15;0,15
2,94;0,18;0,84;0,15;0,15
2,96;0,18;0,85;0,15;0,15
2,98;0,18;0,86;0,15;0,15
3,00;0,18;0,87;0,15;0,15
3,02;0,18;0,87;0,15;0,15
3,04;0,18;0,88;0,16;0,16
3,06;0,18;0,89;0,16;0,16
3,08;0,18;0,90;0,16;0,16
3,10;0,18;0,90;0,16;0,16
3,12;0,19;0,91;0,16;0,16
3,14;0,19;0,92;0,16;0,16
3,16;0,19;0,93;0,16;0,16
3,18;0,19;0,94;0,16;0,16
3,20;0,19;0,94;0,16;0,16
3,22;0,19;0,95;0,16;0,16
3,24;0,19;0,95;0,17;0,17
3,26;0,19;0,96;0,17;0,17
3,28;0,19;0,97;0,17;0,17
3,30;0,19;0,97;0,17;0,17
3,32;0,19;0,98;0,17;0,17
3,34;0,20;0,99;0,17;0,18
3,36;0,20;1,00;0,18;0,18
3,38;0,20;1,01;0,18;0,18
3,40;0,20;1,02;0,18;0,18
3,42;0,20;1,03;0,18;0,18
3,44;0,20;1,04;0,18;0,18
3,46;0,20;1,04;0,18;0,18
3,48;0,20;1,05;0,19;0,19
3,50;0,20;1,06;0,19;0,19
3,52;0,21;1,06;0,19;0,19
3,54;0,21;1,07;0,19;0,19
3,56;0,21;1,08;0,19;0,19
3,58;0,21;1,09;0,19;0,19
3,60;0,21;1,09;0,19;0,19
3,62;0,21;1,10;0,19;0,19
3,64;0,21;1,11;0,19;0,19
3,66;0,21;1,12;0,19;0,19
3,68;0,21;1,12;0,19;0,19
3,70;0,21;1,13;0,19;0,19
3,72;0,21;1,14;0,19;0,19
3,74;0,22;1,15;0,20;0,20
3,76;0,22;1,16;0,20;0,20
3,78;0,22;1,17;0,20;0,20
3,80;0,22;1,18;0,20;0,20
3,82;0,22;1,19;0,20;0,20
3,84;0,22;1,19;0,20;0,20
3,86;0,22;1,20;0,20;0,20
3,88;0,22;1,21;0,20;0,20
3,90;0,22;1,21;0,20;0,20
3,92;0,22;1,22;0,21;0,21
3,94;0,23;1,22;0,21;0,21
3,96;0,23;1,23;0,21;0,21
