Strain;Stress
0,00021851958715580697; -0,13112391930835754
0,001066039080451782; -0,1051873198847264
0,0019128633157548952; -0,08501440922190207
0,0030018111470714037; -0,05763688760806929
0,004212081498141923; -0,02449567723342949
0,005180228253199054; 0,0014409221902016434
0,006148027379259759; 0,02449567723342927
0,007236453767081624; 0,047550432276656895
0,007961955482630716; 0,06195965417867422
0,008687631012678027; 0,07780979827089318
0,00929250546646597; 0,09221902017291062
0,010018180996513283; 0,10806916426512947
0,01086413615932532; 0,12103746397694515
0,011710612765632004; 0,13832853025936587
0,012436288295679318; 0,15417867435158494
0,013282243458491362; 0,1671469740634004
0,01412872006479804; 0,18443804034582123
0,015337078456388202; 0,20172910662824195
0,016183033619200246; 0,21469740634005752
0,017149963672769872; 0,23054755043227648
0,018961979816660465; 0,25216138328530247
0,019928562241233662; 0,26512968299711803
0,021378175156346137; 0,28242074927953875
0,02270716080969746; 0,29971181556195947
0,024156426095813498; 0,3141210374639768
0,025485237934666602; 0,32997118155619576
0,027176279187799607; 0,34870317002881834
0,028625544473915653; 0,36311239193083567
0,030557840250570976; 0,38184438040345803
0,03236950876546515; 0,4005763688760805
0,034301804542120465; 0,4193083573487031
0,03647552865679632; 0,4394812680115273
0,03816604846643468; 0,4538904899135445
0,039735941014311875; 0,46829971181556185
0,042030118576250684; 0,4870317002881843
0,04529035711926802; 0,5144092219020172
0,046980876928906394; 0,5288184438040345
0,04830899350976663; 0,5389048991354466
0,05036156891918669; 0,5547550432276657
0,05193111383806744; 0,5662824207492794
0,05434539721827276; 0,5806916426512967
0,05579396724639595; 0,5893371757925071
0,05756261309204077; 0,599544434977235
0,058285494201781606; 0,6043378155561435
0,059008389766831766; 0,6092510306495249
0,059731256421263264; 0,6139245767139607
0,06045403634383866; 0,6178791156915602
0,06113392323349812; 0,6226724962704687
0,061925537274131755; 0,6269865387914864
0,06257969371315655; 0,6323277342936988
0,06339348880646734; 0,63518321958142
0,06406861535625497; 0,6432840327597754
0,06479149646599577; 0,648077413338684
0,06551437757573661; 0,6528707939175926
0,06629714341826776; 0,655117691063956
0,06696003860805283; 0,6616187134741006
0,06768286189655628; 0,6659327559951183
0,0684058008275345; 0,6712054746319177
0,06912856629480058; 0,6750401790950447
0,06985140403861334; 0,679474056130535
0,07057427069304484; 0,6841476021949708
0,0712970072496922; 0,6877426376291522
0,072019844993505; 0,6921765146646426
0,07274265382669909; 0,6963707226711876
0,07346554939174929; 0,7012839377645689
0,07418834376963404; 0,7053583112566411
0,07491113814751879; 0,7094326847487133
0,07563397589133158; 0,7138665617842037
0,07635677026921633; 0,717940935276276
0,07707953573648241; 0,7217756397394028
0,07780231565905782; 0,7257301787170024
0,07852509558163323; 0,729684717694602
0,07924787550420861; 0,7336392566722015
0,07997065542678405; 0,7375937956498011
0,08069349317059682; 0,7420276726852915
0,08141627309317223; 0,745982211662891
0,08213899519451026; 0,7494574125825997
0,08286180402770438; 0,7536516205891447
0,08358456949497042; 0,7574863250522715
0,0843073349622365; 0,7613210295153984
0,08503007151888387; 0,7649160649495798
0,08575283698614994; 0,7687507694127067
0,08647557354279731; 0,7723458048468881
0,08719829564413534; 0,7758210057665967
0,08792106111140141; 0,7796557102297235
